,,,,,,
,Date                                           ,Event ,,,,
,2020-01-08,Including COVID-19 in the Prevention and Control of Disease Ordinance to provide a legal basis for future measures.,,,,
,2020-01-13,Launching the Enhanced Laboratory Surveillance Programme to identify suspected cases proactively.,,,,
,2020-01-23,"Activating the first quarantine centre, after the first two confirmed cases of infection appeared in Hong Kong.",,,,
,2020-01-24,Suspending flights and High Speed Rail services between Hong Kong and Wuhan.,,,,
,2020-01-25,"Raising the response level under the Preparedness and Response Plan to “Emergency”; Chief Executive appointing four experts to form an expert advisory panel, and announcing the deferral of class resumption after the Chinese New Year holidays until 17 February for all schools in Hong Kong.",,,,
,2020-01-28,Imposing entry restrictions on Hubei residents and non-Hong Kong residents having visited Hubei Province in the past 14 days.,,,,
,2020-01-30,Suspending passenger services at six land and sea boundary control points.,,,,
,2020-01-31,Announcing the deferral of class resumption until 2 March for all schools in Hong Kong.,,,,
,2020-02-04,"Suspending passenger services at another four land and sea boundary control points, leaving only two land boundary control points in service, i.e. Shenzhen Bay Port and Hong Kong-Zhuhai-Macao Bridge Hong Kong Port.",,,,
,2020-02-05,"Suspending passenger services at Kai Tak Cruise Terminal and Ocean Terminal, leaving only Hong Kong International Airport and the above two land boundary control points in service.",,,,
,2020-02-07,The Executive Council confirming a state of public health emergency in Hong Kong and enacting a regulation to require all entrants from the Mainland (except those exempted) to undergo home quarantine.,,,,
,2020-02-08,"Implementing compulsory quarantine. As at 24February, a daily average of 1204 persons were subject to compulsory quarantine for 14 days.",,,,
,2020-02-09,"Completing virus tests on all crew members (about 1 800) on the World Dream cruise ship, allowing 1 800 passengers to disembark.",,,,
,2020-02-10,"Evacuating residents concerned in Hong Mei House, Cheung Hong Estate to quarantine centres, who were subsequently arranged to return home on 15 February upon comprehensive inspection of their flats and completion of virus tests on them.",,,,
,2020-02-13,Announcing that classes would not resume before 16 March for all schools in Hong Kong.,,,,
