Date,Arr-HKres,Arr-MAINLANDvis,Arr-OTHERvis,Arr-Total,Dep-HKres,Dep-MAINLANDvis,Dep-OTHERvis,Dep-Total
2020-01-24,102663,36705,22872,162240,294785,31340,13018,339143
2020-01-25,86417,29891,19177,135485,186168,28788,14633,229589
2020-01-26,163668,36690,16707,217065,121396,38300,14778,174474
2020-01-27,177470,28780,12816,219066,90477,34703,18930,144110
2020-01-28,188788,24156,10248,223192,81904,29546,16517,127967
2020-01-29,197572,27780,10998,236350,76646,32785,15143,124574
2020-01-30,132506,19555,8862,160923,68079,24828,15070,107977
2020-01-31,116544,16058,8257,140859,67506,18994,10952,97452
2020-02-01,115122,13382,9760,138264,65847,15399,12956,94202
2020-02-02,122399,11715,6399,140513,57341,14385,9943,81669
2020-02-03,111033,13461,6510,131004,62735,15246,8100,86081
2020-02-04,54816,9511,5485,69812,34405,11276,6335,52016
2020-02-05,44566,8760,5458,58784,36217,9877,6126,52220
2020-02-06,65122,11009,5886,82017,46220,10651,6253,63124
2020-02-07,76899,12746,6337,95982,40739,11119,6130,57988
2020-02-08,18823,995,3581,23399,22204,2641,4244,29089
2020-02-09,24939,956,3120,29015,20769,2441,4297,27507
2020-02-10,18408,832,2537,21777,18893,1688,3848,24429
2020-02-11,15953,738,2569,19260,14710,1323,3148,19181
2020-02-12,15792,729,2176,18697,15760,1442,2822,20024
2020-02-13,13312,751,2458,16521,17404,1433,2704,21541
2020-02-14,13507,683,2574,16764,18160,1603,2576,22339
2020-02-15,16089,791,2629,19509,16580,1130,2700,20410
2020-02-16,20325,749,2319,23393,14896,1189,3373,19458
2020-02-17,15990,643,2368,19001,13934,899,2816,17649
2020-02-18,14383,579,2451,17413,12015,859,2607,15481
2020-02-19,12801,567,2290,15658,12969,786,2304,16059
2020-02-20,13677,648,2324,16649,15924,940,2606,19470
2020-02-21,14557,682,2696,17935,17499,985,2413,20897
2020-02-22,15440,651,2680,18771,15160,817,2653,18630
2020-02-23,20241,673,2651,23565,13905,961,3189,18055
2020-02-24,16972,588,2410,19970,14216,787,2782,17785
2020-02-25,15207,558,2067,17832,12249,772,2308,15329
2020-02-26,14317,587,2157,17061,12748,838,2280,15866
2020-02-27,13846,702,2404,16952,14287,914,2354,17555
2020-02-28,15248,558,2642,18448,17148,911,2585,20644
2020-02-29,17881,1084,2797,21762,16533,1264,2804,20601
2020-03-01,20991,1346,3237,25574,15755,1795,3686,21236
2020-03-02,16629,973,2682,20284,14627,1223,2805,18655
2020-03-03,13837,918,2682,17437,13452,1100,2796,17348
2020-03-04,13264,973,2607,16844,13393,1111,2589,17093
