,Mask(Chi),Mask(Eng),Immigration(Chi),Health(Chi),Hiking(Chi),China(Eng),China(Chi),HongKong(Chi),Arr-HKres,Arr-MAINLANDvis,Arr-OTHERvis,Arr-Total,Dep-HKres,Dep-MAINLANDvis,Dep-OTHERvis,Dep-Total,Confirmed,Death,jpmask,krmask,usmask
2020-01-01,0,1,0,1,1,3,6,51,,,,,,,,,,,1,4,4
2020-01-02,2,2,1,1,1,5,7,43,,,,,,,,,,,1,3,4
2020-01-03,2,1,1,1,1,4,6,41,,,,,,,,,,,1,3,4
2020-01-04,2,1,1,1,1,4,7,45,,,,,,,,,,,1,3,5
2020-01-05,4,2,1,1,1,4,6,47,,,,,,,,,,,1,2,5
2020-01-06,7,2,1,1,1,6,7,40,,,,,,,,,,,2,4,4
2020-01-07,10,3,1,1,1,6,6,40,,,,,,,,,,,1,3,4
2020-01-08,8,2,1,1,1,6,7,40,,,,,,,,,0,0,1,3,4
2020-01-09,5,2,1,1,0,5,6,40,,,,,,,,,0,0,1,4,4
2020-01-10,3,2,1,1,0,6,6,37,,,,,,,,,0,0,1,3,4
2020-01-11,2,1,1,1,1,3,6,44,,,,,,,,,0,0,1,3,5
2020-01-12,2,1,1,1,1,3,5,43,,,,,,,,,0,0,1,3,5
2020-01-13,2,2,1,1,0,5,7,39,,,,,,,,,0,0,2,3,4
2020-01-14,2,1,1,1,1,5,7,42,,,,,,,,,0,0,1,2,4
2020-01-15,1,1,1,1,1,6,6,42,,,,,,,,,0,0,1,4,4
2020-01-16,1,1,1,1,1,6,7,39,,,,,,,,,0,0,2,3,4
2020-01-17,1,1,1,2,1,5,6,37,,,,,,,,,0,0,1,3,4
2020-01-18,1,1,1,1,1,3,5,42,,,,,,,,,0,0,1,2,5
2020-01-19,1,1,1,1,1,3,5,42,,,,,,,,,0,0,1,3,5
2020-01-20,2,1,1,1,0,6,7,39,,,,,,,,,0,0,2,2,5
2020-01-21,8,2,1,1,1,7,6,39,,,,,,,,,0,0,2,3,5
2020-01-22,18,5,1,2,0,5,7,43,,,,,,,,,0,0,2,2,5
2020-01-23,47,14,1,2,1,7,7,42,,,,,,,,,2,0,3,4,6
2020-01-24,51,16,1,2,1,6,7,35,102663,36705,22872,162240,294785,31340,13018,339143,3,0,4,3,6
2020-01-25,46,14,1,2,1,5,6,43,86417,29891,19177,135485,186168,28788,14633,229589,0,0,4,7,7
2020-01-26,53,17,2,1,1,6,6,43,163668,36690,16707,217065,121396,38300,14778,174474,3,0,4,9,8
2020-01-27,61,20,3,2,2,5,6,47,177470,28780,12816,219066,90477,34703,18930,144110,0,0,6,16,9
2020-01-28,82,26,4,2,1,7,7,47,188788,24156,10248,223192,81904,29546,16517,127967,0,0,8,29,9
2020-01-29,100,31,4,2,1,7,7,47,197572,27780,10998,236350,76646,32785,15143,124574,2,0,14,29,9
2020-01-30,92,31,3,2,1,6,7,44,132506,19555,8862,160923,68079,24828,15070,107977,2,0,20,32,9
2020-01-31,80,26,4,1,2,8,9,42,116544,16058,8257,140859,67506,18994,10952,97452,1,0,21,34,9
2020-02-01,75,22,5,1,2,6,8,49,115122,13382,9760,138264,65847,15399,12956,94202,1,0,18,31,9
2020-02-02,68,18,5,1,1,5,7,48,122399,11715,6399,140513,57341,14385,9943,81669,1,0,16,28,8
2020-02-03,72,20,5,2,1,7,7,46,111033,13461,6510,131004,62735,15246,8100,86081,0,0,17,32,7
2020-02-04,76,21,4,2,0,7,6,48,54816,9511,5485,69812,34405,11276,6335,52016,3,1,15,22,7
2020-02-05,75,19,6,2,1,7,8,51,44566,8760,5458,58784,36217,9877,6126,52220,3,0,16,27,6
2020-02-06,64,19,5,1,1,6,7,46,65122,11009,5886,82017,46220,10651,6253,63124,3,0,13,28,6
2020-02-07,66,18,4,2,1,5,6,46,76899,12746,6337,95982,40739,11119,6130,57988,2,0,11,21,6
2020-02-08,66,18,3,1,2,4,7,48,18823,995,3581,23399,22204,2641,4244,29089,0,0,11,23,7
2020-02-09,46,15,3,1,2,3,6,45,24939,956,3120,29015,20769,2441,4297,27507,10,0,9,16,7
2020-02-10,44,16,3,2,1,6,6,44,18408,832,2537,21777,18893,1688,3848,24429,6,0,9,17,6
2020-02-11,42,16,3,2,1,5,7,42,15953,738,2569,19260,14710,1323,3148,19181,7,0,8,16,6
2020-02-12,42,14,2,1,2,5,6,49,15792,729,2176,18697,15760,1442,2822,20024,1,0,8,12,6
2020-02-13,39,12,3,1,1,5,7,43,13312,751,2458,16521,17404,1433,2704,21541,3,0,8,14,6
2020-02-14,47,13,2,1,1,4,6,38,13507,683,2574,16764,18160,1603,2576,22339,3,0,8,12,5
2020-02-15,35,11,2,1,1,4,6,44,16089,791,2629,19509,16580,1130,2700,20410,0,0,8,7,6
2020-02-16,32,9,2,1,2,3,6,44,20325,749,2319,23393,14896,1189,3373,19458,1,0,8,9,6
2020-02-17,31,10,3,1,1,6,7,39,15990,643,2368,19001,13934,899,2816,17649,3,0,11,8,6
2020-02-18,26,8,2,1,2,5,6,40,14383,579,2451,17413,12015,859,2607,15481,1,0,12,13,5
2020-02-19,25,9,2,1,2,5,7,42,12801,567,2290,15658,12969,786,2304,16059,2,1,12,22,5
2020-02-20,25,8,2,2,1,5,6,40,13677,648,2324,16649,15924,940,2606,19470,4,0,14,30,5
2020-02-21,21,7,2,1,3,4,6,38,14557,682,2696,17935,17499,985,2413,20897,1,0,15,39,6
2020-02-22,20,8,2,1,4,3,6,42,15440,651,2680,18771,15160,817,2653,18630,0,0,14,53,6
2020-02-23,20,7,1,1,5,3,5,43,20241,673,2651,23565,13905,961,3189,18055,6,0,13,53,7
2020-02-24,20,8,2,1,2,5,6,42,16972,588,2410,19970,14216,787,2782,17785,3,0,17,91,7
2020-02-25,24,12,2,1,2,5,6,41,15207,558,2067,17832,12249,772,2308,15329,8,0,22,89,11
2020-02-26,17,7,2,1,2,5,6,44,14317,587,2157,17061,12748,838,2280,15866,6,0,25,80,21
2020-02-27,17,7,2,1,1,5,6,38,13846,702,2404,16952,14287,914,2354,17555,1,0,29,75,22
2020-02-28,15,7,2,1,2,6,6,40,15248,558,2642,18448,17148,911,2585,20644,2,0,30,84,19
2020-02-29,16,7,2,1,3,4,5,43,17881,1084,2797,21762,16533,1264,2804,20601,0,0,27,79,17
2020-03-01,15,6,2,1,3,3,6,46,20991,1346,3237,25574,15755,1795,3686,21236,3,0,22,65,13
2020-03-02,16,6,2,1,1,5,7,40,16629,973,2682,20284,14627,1223,2805,18655,2,0,21,92,13
2020-03-03,18,5,3,1,2,5,6,38,13837,918,2682,17437,13452,1100,2796,17348,1,0,22,89,11
2020-03-04,15,5,3,1,1,5,8,43,13264,973,2607,16844,13393,1111,2589,17093,3,0,24,84,10
2020-03-05,16,5,5,1,1,5,6,41,13245,916,2534,16695,14729,1053,2703,18485,1,0,27,100,10
2020-03-06,14,5,4,1,1,5,6,41,15154,978,2779,18911,16326,1065,2462,19853,2,0,24,93,10
2020-03-07,16,5,2,1,3,3,6,44,15774,1090,2894,19758,15136,1204,2923,19263,2,0,23,63,10
2020-03-08,15,5,2,1,2,3,6,44,20255,1005,2648,23908,13853,1282,3181,18316,5,1,20,73,9
2020-03-09,15,5,3,1,1,5,7,40,15574,955,2438,18967,13142,1046,2491,16679,2,0,21,77,9
2020-03-10,23,9,3,2,2,5,7,41,13908,906,2293,17107,11251,1028,2246,14525,2,0,23,79,9
2020-03-11,32,20,3,2,1,5,6,42,14276,1107,2274,17657,10333,1193,2049,13575,12,0,23,90,10
2020-03-12,28,15,2,1,1,6,7,38,13183,1200,2182,16565,11405,1216,2202,14823,1,0,22,61,14
2020-03-13,22,9,3,1,2,5,7,40,15048,1348,2349,18745,12649,1429,2352,16430,2,1,20,55,14
2020-03-14,24,9,2,1,3,4,5,45,14887,1730,2665,19282,12434,1723,2528,16685,7,0,22,57,13
2020-03-15,20,7,3,1,2,4,5,46,19944,1942,2642,24528,11549,2074,2728,16351,8,0,25,35,12
2020-03-16,20,10,3,2,2,5,7,40,16634,2016,2838,21488,11081,2146,2897,16124,9,0,23,45,13
2020-03-17,21,13,3,1,1,6,7,42,14677,1980,2029,18686,8946,2046,2091,13083,8,0,22,44,13
2020-03-18,19,8,3,2,0,5,7,42,16276,2408,1899,20583,7461,2405,1767,11633,20,0,20,41,14
2020-03-19,18,8,2,1,1,6,7,40,11924,243,951,13118,7383,664,1186,9233,22,0,18,37,16
2020-03-20,19,8,2,2,1,6,7,40,13487,307,1064,14858,8020,503,1312,9835,44,0,18,37,20
2020-03-21,23,8,2,1,2,3,6,43,12256,319,919,13494,7472,566,969,9007,23,0,17,35,28
2020-03-22,20,7,2,1,2,4,6,46,11656,336,805,12797,6664,665,880,8209,44,0,16,23,27
2020-03-23,20,7,3,1,1,6,7,44,10519,247,886,11652,8465,539,954,9958,34,0,18,29,24
2020-03-24,16,8,2,1,1,6,7,41,12537,437,1809,14783,8420,541,1743,10704,31,0,27,28,22
2020-03-25,18,7,2,2,1,6,7,39,4969,148,180,5297,2366,372,430,3168,25,0,25,31,21
2020-03-26,18,8,2,1,1,5,8,38,4171,136,151,4458,3254,584,267,4105,45,0,25,26,21
2020-03-27,18,10,2,1,1,6,7,38,3703,134,196,4033,2025,249,521,2795,42,0,26,25,21
2020-03-28,17,7,1,1,1,3,6,38,4356,110,196,4662,974,156,311,1441,32,0,28,23,23
2020-03-29,15,7,1,1,0,4,6,45,3230,123,231,3584,558,97,260,915,51,0,25,17,24
2020-03-30,15,7,1,1,0,6,8,40,2688,90,155,2933,680,96,241,1017,46,0,27,24,24
2020-03-31,15,7,1,1,0,6,6,36,2245,111,139,2495,991,93,267,1351,57,0,34,21,31
2020-04-01,17,8,1,1,0,6,6,40,2010,96,40,2146,953,163,102,1218,57,0,44,22,37
2020-04-02,16,8,1,2,1,6,7,37,1360,76,9,1445,710,108,72,890,47,0,51,24,46
2020-04-03,16,8,1,1,1,5,6,39,1527,97,28,1652,1022,141,100,1263,47,0,47,21,74
2020-04-04,16,7,1,1,1,3,5,41,1206,78,18,1302,757,112,59,928,22,0,49,23,100
2020-04-05,16,7,1,1,1,4,6,41,1511,112,26,1649,693,95,90,878,29,0,48,15,70
2020-04-06,20,9,2,2,0,6,6,38,1351,98,16,1465,658,87,49,794,32,0,44,21,58
2020-04-07,17,7,1,1,0,5,7,40,892,84,16,992,602,126,50,778,21,0,50,19,50
2020-04-08,15,6,1,2,1,5,7,38,1446,105,25,1576,699,93,63,855,25,0,45,18,45
2020-04-09,14,6,1,2,2,5,7,39,1056,93,18,1167,554,132,44,730,13,0,45,18,42
2020-04-10,14,7,1,1,2,4,6,41,1460,146,40,1646,916,152,78,1146,16,0,47,15,42
2020-04-11,12,5,1,1,2,4,6,42,832,111,17,960,524,64,37,625,11,0,45,15,41
2020-04-12,11,5,1,2,3,3,6,45,1048,107,26,1181,620,87,55,762,4,0,42,13,31
2020-04-13,20,8,1,1,2,5,6,41,957,102,23,1082,361,79,33,473,5,0,38,16,28
2020-04-14,14,6,1,2,1,5,7,39,1054,81,11,1146,446,79,54,579,3,0,39,14,30
2020-04-15,12,9,1,2,1,5,7,38,1127,99,18,1244,588,84,62,734,4,0,39,11,32
2020-04-16,14,6,1,1,1,5,7,39,950,84,22,1056,381,71,25,477,1,0,41,11,39
2020-04-17,17,5,1,2,2,6,8,37,1363,87,26,1476,714,71,86,871,4,0,41,12,37
2020-04-18,12,6,1,1,3,3,6,41,862,103,15,980,541,88,77,706,2,0,41,13,41
2020-04-19,10,4,1,1,2,4,6,43,1016,99,16,1131,448,55,44,547,2,0,39,11,35
2020-04-20,10,4,1,1,1,5,6,38,1163,86,23,1272,508,100,32,640,0,0,70,15,29
2020-04-21,12,4,1,2,1,5,6,37,786,73,23,882,323,45,31,399,4,0,100,13,29
2020-04-22,13,5,1,1,1,5,7,38,992,65,33,1090,496,54,58,608,4,0,61,14,30
2020-04-23,9,5,1,1,1,5,7,37,616,59,21,696,397,78,62,537,2,0,50,14,31
2020-04-24,10,5,1,1,1,5,6,35,1250,40,26,1316,601,43,65,709,0,0,40,16,29
2020-04-25,11,5,1,1,2,4,5,38,833,75,24,932,468,50,41,559,2,0,36,12,31
2020-04-26,10,4,1,2,2,4,6,45,849,82,24,955,525,78,37,640,0,0,48,13,29
2020-04-27,7,4,1,2,2,6,6,38,898,74,12,984,738,148,32,918,0,0,89,17,26
2020-04-28,8,4,2,1,2,5,6,41,827,51,66,944,355,27,56,438,0,0,46,15,29
2020-04-29,8,4,1,1,2,5,6,41,1293,76,17,1386,601,30,50,681,0,0,36,13,29
2020-04-30,10,4,1,1,3,4,5,40,1611,125,52,1788,633,89,38,760,0,0,30,11,29
2020-05-01,8,4,1,1,3,4,6,42,1379,119,30,1528,815,63,100,978,2,0,29,10,29
2020-05-02,7,3,1,1,3,3,5,41,1020,100,39,1159,596,31,75,702,0,0,28,12,29
2020-05-03,7,3,1,1,2,3,5,44,1470,142,35,1647,433,48,50,531,0,0,34,11,27
2020-05-04,7,3,2,1,1,6,7,38,1449,94,34,1577,558,38,167,763,1,0,25,13,25
2020-05-05,15,6,2,1,1,5,7,41,1008,84,14,1106,424,38,38,500,0,0,22,15,26
2020-05-06,27,11,2,1,1,5,6,42,1303,87,20,1410,613,54,40,707,0,0,22,13,27
2020-05-07,13,6,1,2,1,5,5,39,1114,108,9,1231,462,75,8,545,4,0,24,15,25
2020-05-08,12,5,1,1,1,5,5,36,2447,157,48,2652,765,77,57,899,0,0,22,15,25
2020-05-09,13,4,1,2,1,3,6,43,1760,169,72,2001,540,57,32,629,0,0,21,14,28
2020-05-10,10,4,1,1,1,3,5,39,2832,214,50,3096,520,51,50,621,3,0,19,14,23
2020-05-11,10,5,1,1,1,5,6,39,2850,185,43,3078,683,63,32,778,0,0,22,16,22
2020-05-12,10,5,1,1,0,5,6,38,2538,195,45,2778,452,43,43,538,0,0,24,17,24
2020-05-13,9,5,1,1,1,5,6,37,1867,130,33,2030,668,76,82,826,3,0,23,16,24
2020-05-14,10,5,1,2,1,5,7,36,1493,130,47,1670,526,43,75,644,1,0,23,13,25
2020-05-15,10,4,1,1,1,5,6,39,1926,145,44,2115,595,63,70,728,1,0,21,11,25
2020-05-16,10,5,1,1,1,3,6,42,1921,174,165,2260,694,53,83,830,0,0,19,12,25
2020-05-17,9,4,1,2,2,3,6,46,2152,193,68,2413,446,51,63,560,3,0,21,11,24
2020-05-18,10,4,1,1,1,5,6,41,2019,137,66,2222,635,48,66,749,0,0,19,13,21
2020-05-19,10,4,1,2,1,5,6,37,1342,120,32,1494,618,40,24,682,0,0,19,12,22
2020-05-20,8,4,1,1,1,5,6,38,1876,149,39,2064,514,52,28,594,0,0,19,13,23
2020-05-21,8,3,1,1,0,5,7,39,1701,139,44,1884,426,88,35,549,8,0,18,12,24
2020-05-22,10,4,1,2,0,6,7,44,2279,165,52,2496,667,75,57,799,2,0,20,12,24
2020-05-23,7,4,1,2,1,3,5,44,2454,287,116,2857,422,52,52,526,0,0,18,11,23
2020-05-24,7,3,1,1,1,4,5,48,3629,464,54,4147,474,44,45,563,0,0,19,10,21
2020-05-25,8,6,1,2,1,5,7,42,2241,269,60,2570,580,22,32,634,0,0,19,16,20
2020-05-26,7,4,1,1,0,6,6,41,1393,155,57,1605,488,34,57,579,0,0,19,18,20
2020-05-27,7,4,1,2,0,6,6,41,1230,120,30,1380,595,43,149,787,1,0,22,14,21
2020-05-28,9,3,1,1,0,6,7,44,1376,116,80,1572,428,34,73,535,0,0,27,13,21
2020-05-29,11,4,1,1,1,6,7,40,1689,114,45,1848,486,26,121,633,13,0,24,17,20
2020-05-30,7,3,1,1,0,4,6,46,1641,161,49,1851,563,45,94,702,3,0,22,14,19
2020-05-31,10,4,1,1,1,5,5,49,2226,297,58,2581,364,25,55,444,2,0,19,12,17
2020-06-01,8,4,2,2,1,6,7,44,1830,185,80,2095,650,29,52,731,3,0,18,16,15
2020-06-02,8,4,3,1,1,6,7,44,1796,116,73,1985,666,33,117,816,6,0,20,14,15
2020-06-03,10,4,2,2,0,6,6,46,2162,207,50,2419,1077,100,124,1301,0,0,23,16,15
2020-06-04,8,6,1,2,1,6,6,41,2395,222,55,2672,1334,119,96,1549,6,0,21,21,14
2020-06-05,9,5,1,2,0,5,7,40,2575,234,64,2873,1527,139,95,1761,3,0,22,25,15
2020-06-06,8,3,1,1,1,3,6,42,2010,283,64,2357,1164,129,234,1527,3,0,20,17,16
2020-06-07,8,3,1,1,0,3,6,45,3328,376,71,3775,1246,145,127,1518,1,0,18,12,15
2020-06-08,8,4,1,2,0,5,6,42,3019,312,134,3465,1290,135,60,1485,1,0,20,18,14
2020-06-09,10,3,1,2,0,5,6,41,2139,255,57,2451,1202,162,53,1417,0,0,19,13,14
2020-06-10,7,3,1,2,0,5,6,42,2204,266,46,2516,1105,124,204,1433,0,0,21,15,15
2020-06-11,8,3,1,3,1,6,5,38,1727,186,32,1945,885,74,47,1006,0,0,18,16,15
2020-06-12,8,3,1,3,1,5,5,42,2074,182,122,2378,981,70,102,1153,1,0,17,16,16
2020-06-13,8,3,1,2,0,3,6,47,1682,236,77,1995,779,82,73,934,1,0,16,11,17
2020-06-14,7,3,1,2,1,3,5,44,1651,156,67,1874,876,98,92,1066,0,0,16,11,16
2020-06-15,8,3,1,3,0,5,7,39,3484,170,96,3750,2498,87,86,2671,3,0,27,14,15
2020-06-16,7,3,2,3,1,6,6,40,3359,164,66,3589,2604,100,65,2769,0,0,23,15,16
2020-06-17,6,3,1,2,0,6,6,40,3263,148,69,3480,2386,126,38,2550,8,0,21,14,17
2020-06-18,7,3,1,2,0,6,7,40,3061,146,57,3264,2614,106,99,2819,4,0,33,17,20
2020-06-19,7,3,1,2,1,6,6,41,3228,120,99,3447,2599,81,201,2881,3,0,67,14,25
2020-06-20,7,3,1,2,1,4,8,47,1746,171,83,2000,890,94,62,1046,1,0,24,14,24
2020-06-21,6,3,1,2,1,5,17,52,2060,146,89,2295,1179,107,85,1371,3,1,19,11,19
2020-06-22,7,3,1,2,1,7,9,42,2979,179,84,3242,2580,83,81,2744,30,0,18,13,19
2020-06-23,6,2,1,4,0,5,9,41,3499,147,46,3692,2564,94,64,2722,16,1,19,15,21
2020-06-24,7,3,2,3,1,5,7,41,3101,104,73,3278,2703,83,52,2838,2,0,17,14,27
2020-06-25,8,3,1,2,0,4,6,44,1365,97,56,1518,1156,70,71,1297,14,1,17,14,31
2020-06-26,8,3,1,3,1,5,7,43,3194,110,80,3384,2694,96,89,2879,3,0,18,14,30
2020-06-27,7,3,2,2,1,3,5,46,1588,81,75,1744,1006,86,148,1240,1,0,16,12,29
2020-06-28,6,3,1,3,1,3,5,45,1567,124,82,1773,1222,43,125,1390,2,0,16,12,26
2020-06-29,6,3,2,3,1,5,7,44,2759,88,44,2891,2486,60,131,2677,4,0,15,13,26
2020-06-30,6,3,2,3,1,5,7,49,3426,169,95,3690,2931,94,71,3096,2,0,16,14,27
