Date,krmask
1/1/2020,4
2/1/2020,3
3/1/2020,3
4/1/2020,3
5/1/2020,2
6/1/2020,4
7/1/2020,3
8/1/2020,3
9/1/2020,4
10/1/2020,3
11/1/2020,3
12/1/2020,3
13/1/2020,3
14/1/2020,2
15/1/2020,4
16/1/2020,3
17/1/2020,3
18/1/2020,2
19/1/2020,3
20/1/2020,2
21/1/2020,3
22/1/2020,2
23/1/2020,4
24/1/2020,3
25/1/2020,7
26/1/2020,9
27/1/2020,16
28/1/2020,29
29/1/2020,29
30/1/2020,32
31/1/2020,34
1/2/2020,31
2/2/2020,28
3/2/2020,32
4/2/2020,22
5/2/2020,27
6/2/2020,28
7/2/2020,21
8/2/2020,23
9/2/2020,16
10/2/2020,17
11/2/2020,16
12/2/2020,12
13/2/2020,14
14/2/2020,12
15/2/2020,7
16/2/2020,9
17/2/2020,8
18/2/2020,13
19/2/2020,22
20/2/2020,30
21/2/2020,39
22/2/2020,53
23/2/2020,53
24/2/2020,91
25/2/2020,89
26/2/2020,80
27/2/2020,75
28/2/2020,84
29/2/2020,79
1/3/2020,65
2/3/2020,92
3/3/2020,89
4/3/2020,84
5/3/2020,100
6/3/2020,93
7/3/2020,63
8/3/2020,73
9/3/2020,77
10/3/2020,79
11/3/2020,90
12/3/2020,61
13/3/2020,55
14/3/2020,57
15/3/2020,35
16/3/2020,45
17/3/2020,44
18/3/2020,41
19/3/2020,37
20/3/2020,37
21/3/2020,35
22/3/2020,23
23/3/2020,29
24/3/2020,28
25/3/2020,31
26/3/2020,26
27/3/2020,25
28/3/2020,23
29/3/2020,17
30/3/2020,24
31/3/2020,21
1/4/2020,22
2/4/2020,24
3/4/2020,21
4/4/2020,23
5/4/2020,15
6/4/2020,21
7/4/2020,19
8/4/2020,18
9/4/2020,18
10/4/2020,15
11/4/2020,15
12/4/2020,13
13/4/2020,16
14/4/2020,14
15/4/2020,11
16/4/2020,11
17/4/2020,12
18/4/2020,13
19/4/2020,11
20/4/2020,15
21/4/2020,13
22/4/2020,14
23/4/2020,14
24/4/2020,16
25/4/2020,12
26/4/2020,13
27/4/2020,17
28/4/2020,15
29/4/2020,13
30/4/2020,11
1/5/2020,10
2/5/2020,12
3/5/2020,11
4/5/2020,13
5/5/2020,15
6/5/2020,13
7/5/2020,15
8/5/2020,15
9/5/2020,14
10/5/2020,14
11/5/2020,16
12/5/2020,17
13/5/2020,16
14/5/2020,13
15/5/2020,11
16/5/2020,12
17/5/2020,11
18/5/2020,13
19/5/2020,12
20/5/2020,13
21/5/2020,12
22/5/2020,12
23/5/2020,11
24/5/2020,10
25/5/2020,16
26/5/2020,18
27/5/2020,14
28/5/2020,13
29/5/2020,17
30/5/2020,14
31/5/2020,12
1/6/2020,16
2/6/2020,14
3/6/2020,16
4/6/2020,21
5/6/2020,25
6/6/2020,17
7/6/2020,12
8/6/2020,18
9/6/2020,13
10/6/2020,15
11/6/2020,16
12/6/2020,16
13/6/2020,11
14/6/2020,11
15/6/2020,14
16/6/2020,15
17/6/2020,14
18/6/2020,17
19/6/2020,14
20/6/2020,14
21/6/2020,11
22/6/2020,13
23/6/2020,15
24/6/2020,14
25/6/2020,14
26/6/2020,14
27/6/2020,12
28/6/2020,12
29/6/2020,13
30/6/2020,14
