Date,usmask
1/1/2020,4
2/1/2020,4
3/1/2020,4
4/1/2020,5
5/1/2020,5
6/1/2020,4
7/1/2020,4
8/1/2020,4
9/1/2020,4
10/1/2020,4
11/1/2020,5
12/1/2020,5
13/1/2020,4
14/1/2020,4
15/1/2020,4
16/1/2020,4
17/1/2020,4
18/1/2020,5
19/1/2020,5
20/1/2020,5
21/1/2020,5
22/1/2020,5
23/1/2020,6
24/1/2020,6
25/1/2020,7
26/1/2020,8
27/1/2020,9
28/1/2020,9
29/1/2020,9
30/1/2020,9
31/1/2020,9
1/2/2020,9
2/2/2020,8
3/2/2020,7
4/2/2020,7
5/2/2020,6
6/2/2020,6
7/2/2020,6
8/2/2020,7
9/2/2020,7
10/2/2020,6
11/2/2020,6
12/2/2020,6
13/2/2020,6
14/2/2020,5
15/2/2020,6
16/2/2020,6
17/2/2020,6
18/2/2020,5
19/2/2020,5
20/2/2020,5
21/2/2020,6
22/2/2020,6
23/2/2020,7
24/2/2020,7
25/2/2020,11
26/2/2020,21
27/2/2020,22
28/2/2020,19
29/2/2020,17
1/3/2020,13
2/3/2020,13
3/3/2020,11
4/3/2020,10
5/3/2020,10
6/3/2020,10
7/3/2020,10
8/3/2020,9
9/3/2020,9
10/3/2020,9
11/3/2020,10
12/3/2020,14
13/3/2020,14
14/3/2020,13
15/3/2020,12
16/3/2020,13
17/3/2020,13
18/3/2020,14
19/3/2020,16
20/3/2020,20
21/3/2020,28
22/3/2020,27
23/3/2020,24
24/3/2020,22
25/3/2020,21
26/3/2020,21
27/3/2020,21
28/3/2020,23
29/3/2020,24
30/3/2020,24
31/3/2020,31
1/4/2020,37
2/4/2020,46
3/4/2020,74
4/4/2020,100
5/4/2020,70
6/4/2020,58
7/4/2020,50
8/4/2020,45
9/4/2020,42
10/4/2020,42
11/4/2020,41
12/4/2020,31
13/4/2020,28
14/4/2020,30
15/4/2020,32
16/4/2020,39
17/4/2020,37
18/4/2020,41
19/4/2020,35
20/4/2020,29
21/4/2020,29
22/4/2020,30
23/4/2020,31
24/4/2020,29
25/4/2020,31
26/4/2020,29
27/4/2020,26
28/4/2020,29
29/4/2020,29
30/4/2020,29
1/5/2020,29
2/5/2020,29
3/5/2020,27
4/5/2020,25
5/5/2020,26
6/5/2020,27
7/5/2020,25
8/5/2020,25
9/5/2020,28
10/5/2020,23
11/5/2020,22
12/5/2020,24
13/5/2020,24
14/5/2020,25
15/5/2020,25
16/5/2020,25
17/5/2020,24
18/5/2020,21
19/5/2020,22
20/5/2020,23
21/5/2020,24
22/5/2020,24
23/5/2020,23
24/5/2020,21
25/5/2020,20
26/5/2020,20
27/5/2020,21
28/5/2020,21
29/5/2020,20
30/5/2020,19
31/5/2020,17
1/6/2020,15
2/6/2020,15
3/6/2020,15
4/6/2020,14
5/6/2020,15
6/6/2020,16
7/6/2020,15
8/6/2020,14
9/6/2020,14
10/6/2020,15
11/6/2020,15
12/6/2020,16
13/6/2020,17
14/6/2020,16
15/6/2020,15
16/6/2020,16
17/6/2020,17
18/6/2020,20
19/6/2020,25
20/6/2020,24
21/6/2020,19
22/6/2020,19
23/6/2020,21
24/6/2020,27
25/6/2020,31
26/6/2020,30
27/6/2020,29
28/6/2020,26
29/6/2020,26
30/6/2020,27
