,Mask(Chi),Mask(Eng),Immigration(Chi),Health(Chi),Hiking(Chi),China(Eng),China(Chi),HongKong(Chi),Arr-HKres,Arr-MAINLANDvis,Arr-OTHERvis,Arr-Total,Dep-HKres,Dep-MAINLANDvis,Dep-OTHERvis,Dep-Total,Confirmed,Death
2020-01-01,0,1,0,1,1,3,6,51,,,,,,,,,,
2020-01-02,2,2,1,1,1,5,7,43,,,,,,,,,,
2020-01-03,2,1,1,1,1,4,6,41,,,,,,,,,,
2020-01-04,2,1,1,1,1,4,7,45,,,,,,,,,,
2020-01-05,4,2,1,1,1,4,6,47,,,,,,,,,,
2020-01-06,7,2,1,1,1,6,7,40,,,,,,,,,,
2020-01-07,10,3,1,1,1,6,6,40,,,,,,,,,,
2020-01-08,8,2,1,1,1,6,7,40,,,,,,,,,0.0,0.0
2020-01-09,5,2,1,1,0,5,6,40,,,,,,,,,0.0,0.0
2020-01-10,3,2,1,1,0,6,6,37,,,,,,,,,0.0,0.0
2020-01-11,2,1,1,1,1,3,6,44,,,,,,,,,0.0,0.0
2020-01-12,2,1,1,1,1,3,5,43,,,,,,,,,0.0,0.0
2020-01-13,2,2,1,1,0,5,7,39,,,,,,,,,0.0,0.0
2020-01-14,2,1,1,1,1,5,7,42,,,,,,,,,0.0,0.0
2020-01-15,1,1,1,1,1,6,6,42,,,,,,,,,0.0,0.0
2020-01-16,1,1,1,1,1,6,7,39,,,,,,,,,0.0,0.0
2020-01-17,1,1,1,2,1,5,6,37,,,,,,,,,0.0,0.0
2020-01-18,1,1,1,1,1,3,5,42,,,,,,,,,0.0,0.0
2020-01-19,1,1,1,1,1,3,5,42,,,,,,,,,0.0,0.0
2020-01-20,2,1,1,1,0,6,7,39,,,,,,,,,0.0,0.0
2020-01-21,8,2,1,1,1,7,6,39,,,,,,,,,0.0,0.0
2020-01-22,18,5,1,2,0,5,7,43,,,,,,,,,0.0,0.0
2020-01-23,47,14,1,2,1,7,7,42,,,,,,,,,2.0,0.0
2020-01-24,51,16,1,2,1,6,7,35,102663.0,36705.0,22872.0,162240.0,294785.0,31340.0,13018.0,339143.0,3.0,0.0
2020-01-25,46,14,1,2,1,5,6,43,86417.0,29891.0,19177.0,135485.0,186168.0,28788.0,14633.0,229589.0,0.0,0.0
2020-01-26,53,17,2,1,1,6,6,43,163668.0,36690.0,16707.0,217065.0,121396.0,38300.0,14778.0,174474.0,3.0,0.0
2020-01-27,61,20,3,2,2,5,6,47,177470.0,28780.0,12816.0,219066.0,90477.0,34703.0,18930.0,144110.0,0.0,0.0
2020-01-28,82,26,4,2,1,7,7,47,188788.0,24156.0,10248.0,223192.0,81904.0,29546.0,16517.0,127967.0,0.0,0.0
2020-01-29,100,31,4,2,1,7,7,47,197572.0,27780.0,10998.0,236350.0,76646.0,32785.0,15143.0,124574.0,2.0,0.0
2020-01-30,92,31,3,2,1,6,7,44,132506.0,19555.0,8862.0,160923.0,68079.0,24828.0,15070.0,107977.0,2.0,0.0
2020-01-31,80,26,4,1,2,8,9,42,116544.0,16058.0,8257.0,140859.0,67506.0,18994.0,10952.0,97452.0,1.0,0.0
2020-02-01,75,22,5,1,2,6,8,49,115122.0,13382.0,9760.0,138264.0,65847.0,15399.0,12956.0,94202.0,1.0,0.0
2020-02-02,68,18,5,1,1,5,7,48,122399.0,11715.0,6399.0,140513.0,57341.0,14385.0,9943.0,81669.0,1.0,0.0
2020-02-03,72,20,5,2,1,7,7,46,111033.0,13461.0,6510.0,131004.0,62735.0,15246.0,8100.0,86081.0,0.0,0.0
2020-02-04,76,21,4,2,0,7,6,48,54816.0,9511.0,5485.0,69812.0,34405.0,11276.0,6335.0,52016.0,3.0,1.0
2020-02-05,75,19,6,2,1,7,8,51,44566.0,8760.0,5458.0,58784.0,36217.0,9877.0,6126.0,52220.0,3.0,0.0
2020-02-06,64,19,5,1,1,6,7,46,65122.0,11009.0,5886.0,82017.0,46220.0,10651.0,6253.0,63124.0,3.0,0.0
2020-02-07,66,18,4,2,1,5,6,46,76899.0,12746.0,6337.0,95982.0,40739.0,11119.0,6130.0,57988.0,2.0,0.0
2020-02-08,66,18,3,1,2,4,7,48,18823.0,995.0,3581.0,23399.0,22204.0,2641.0,4244.0,29089.0,0.0,0.0
2020-02-09,46,15,3,1,2,3,6,45,24939.0,956.0,3120.0,29015.0,20769.0,2441.0,4297.0,27507.0,10.0,0.0
