,Day,口罩: (Hong Kong),洗手液: (Hong Kong),mask: (Hong Kong),facemask: (Hong Kong),封關: (Hong Kong),紙巾: (Hong Kong),世界未日: (Hong Kong),end of the world: (Hong Kong),肺炎徵狀: (Hong Kong),covid syndrome: (Hong Kong),廁紙: (Hong Kong),toillet  paper: (Hong Kong),air-purifier: (Hong Kong),空氣淨化器: (Hong Kong),出境: (Hong Kong),入境: (Hong Kong),去旅行: (Hong Kong),健康: (Hong Kong),行山: (Hong Kong),旅行: (Hong Kong),travelling: (Hong Kong),移民: (Hong Kong),china: (Hong Kong),中國: (Hong Kong),香港: (Hong Kong),a: (Hong Kong),b: (Hong Kong),c: (Hong Kong)
0,20200101,<1,0,1,0,0,<1,0,0,0,0,<1,0,0,0,<1,<1,<1,1,1,2,<1,1,3,6,51,15,2,2
1,20200102,2,0,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,<1,5,7,43,15,2,2
2,20200103,2,0,1,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,4,6,41,15,2,2
3,20200104,2,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,0,1,<1,1,1,2,<1,1,4,7,45,15,2,2
4,20200105,4,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,4,6,47,16,1,2
5,20200106,7,<1,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,1,<1,<1,6,7,40,17,2,2
6,20200107,10,<1,3,0,0,<1,<1,0,0,0,0,0,0,<1,<1,1,<1,1,1,2,<1,1,6,6,40,15,2,2
7,20200108,8,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,1,<1,1,6,7,40,15,2,2
8,20200109,5,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,0,1,<1,1,0,1,5,6,40,18,3,2
9,20200110,3,<1,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,<1,2,<1,1,6,6,37,16,2,1
10,20200111,2,<1,1,<1,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,6,44,13,2,2
11,20200112,2,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,3,5,43,15,3,3
12,20200113,2,<1,2,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,<1,1,0,1,5,7,39,16,2,3
13,20200114,2,<1,1,0,0,<1,<1,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,5,7,42,16,2,2
14,20200115,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,6,6,42,17,2,3
15,20200116,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,6,7,39,16,2,2
16,20200117,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,2,<1,1,5,6,37,15,2,2
17,20200118,1,0,1,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,5,42,14,2,2
18,20200119,1,<1,1,<1,0,<1,<1,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,5,42,15,2,2
19,20200120,2,<1,1,0,0,<1,0,<1,0,0,0,0,0,<1,<1,1,<1,1,<1,1,<1,1,6,7,39,16,2,2
20,20200121,8,<1,2,0,0,<1,0,<1,0,0,0,0,0,<1,<1,1,<1,1,1,2,<1,1,7,6,39,15,2,2
21,20200122,18,<1,5,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,<1,1,<1,1,5,7,43,15,2,2
22,20200123,47,<1,14,<1,0,<1,<1,0,0,0,<1,0,0,<1,<1,1,<1,2,1,1,<1,1,7,7,42,15,1,3
23,20200124,51,<1,16,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,2,<1,<1,6,7,35,14,1,3
24,20200125,46,<1,14,<1,0,1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,1,0,<1,5,6,43,12,1,2
25,20200126,53,<1,17,<1,0,1,0,0,0,0,<1,0,0,<1,<1,2,<1,1,1,2,<1,1,6,6,43,12,2,2
26,20200127,61,1,20,<1,0,1,0,<1,0,0,<1,0,0,<1,<1,3,<1,2,2,1,<1,1,5,6,47,12,2,2
