,Day,口罩: (Hong Kong),洗手液: (Hong Kong),mask: (Hong Kong),facemask: (Hong Kong),封關: (Hong Kong),紙巾: (Hong Kong),世界未日: (Hong Kong),end of the world: (Hong Kong),肺炎徵狀: (Hong Kong),covid syndrome: (Hong Kong),廁紙: (Hong Kong),toillet  paper: (Hong Kong),air-purifier: (Hong Kong),空氣淨化器: (Hong Kong),出境: (Hong Kong),入境: (Hong Kong),去旅行: (Hong Kong),健康: (Hong Kong),行山: (Hong Kong),旅行: (Hong Kong),travelling: (Hong Kong),移民: (Hong Kong),china: (Hong Kong),中國: (Hong Kong),香港: (Hong Kong),a: (Hong Kong),b: (Hong Kong),c: (Hong Kong)
0,2020-01-01,<1,0,1,0,0,<1,0,0,0,0,<1,0,0,0,<1,<1,<1,1,1,2,<1,1,3,6,51,15,2,2
1,2020-01-02,2,0,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,<1,5,7,43,15,2,2
2,2020-01-03,2,0,1,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,4,6,41,15,2,2
3,2020-01-04,2,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,0,1,<1,1,1,2,<1,1,4,7,45,15,2,2
4,2020-01-05,4,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,4,6,47,16,1,2
5,2020-01-06,7,<1,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,1,<1,<1,6,7,40,17,2,2
6,2020-01-07,10,<1,3,0,0,<1,<1,0,0,0,0,0,0,<1,<1,1,<1,1,1,2,<1,1,6,6,40,15,2,2
7,2020-01-08,8,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,1,<1,1,6,7,40,15,2,2
8,2020-01-09,5,<1,2,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,0,1,<1,1,0,1,5,6,40,18,3,2
9,2020-01-10,3,<1,2,0,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,<1,2,<1,1,6,6,37,16,2,1
10,2020-01-11,2,<1,1,<1,0,<1,0,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,6,44,13,2,2
11,2020-01-12,2,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,3,5,43,15,3,3
12,2020-01-13,2,<1,2,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,<1,1,0,1,5,7,39,16,2,3
13,2020-01-14,2,<1,1,0,0,<1,<1,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,5,7,42,16,2,2
14,2020-01-15,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,6,6,42,17,2,3
15,2020-01-16,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,0,1,6,7,39,16,2,2
16,2020-01-17,1,<1,1,0,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,2,<1,1,5,6,37,15,2,2
17,2020-01-18,1,0,1,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,5,42,14,2,2
18,2020-01-19,1,<1,1,<1,0,<1,<1,0,0,0,<1,0,0,<1,<1,1,<1,1,1,2,<1,1,3,5,42,15,2,2
19,2020-01-20,2,<1,1,0,0,<1,0,<1,0,0,0,0,0,<1,<1,1,<1,1,<1,1,<1,1,6,7,39,16,2,2
20,2020-01-21,8,<1,2,0,0,<1,0,<1,0,0,0,0,0,<1,<1,1,<1,1,1,2,<1,1,7,6,39,15,2,2
21,2020-01-22,18,<1,5,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,<1,1,<1,1,5,7,43,15,2,2
22,2020-01-23,47,<1,14,<1,0,<1,<1,0,0,0,<1,0,0,<1,<1,1,<1,2,1,1,<1,1,7,7,42,15,1,3
23,2020-01-24,51,<1,16,<1,0,<1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,2,<1,<1,6,7,35,14,1,3
24,2020-01-25,46,<1,14,<1,0,1,0,<1,0,0,<1,0,0,<1,<1,1,<1,2,1,1,0,<1,5,6,43,12,1,2
25,2020-01-26,53,<1,17,<1,0,1,0,0,0,0,<1,0,0,<1,<1,2,<1,1,1,2,<1,1,6,6,43,12,2,2
