,Date,Title,category,Content,URL
0,"April 1, 2020",Baby tests positive for COVID-19,Health & Community,"(To watch the full press briefing with sign language interpretation, click here.)A 40-day-old baby boy has tested positive for COVID-19 and is under medical observation, the Centre for Health Protection announced today.Hospital Authority Chief Manager (Quality & Standards) Dr Lau Ka-hin told a press briefing that the baby developed a fever and was initially taken by his parents to a private hospital where hetested positive for the virus.“The parents brought the baby to the Accident & Emergency Department of Queen Elizabeth Hospital and (he) was then admitted to the pediatric isolation facility.“Since the baby had a fever, a lot of investigations were done, including a chest X-ray, which was normal, and some blood tests which were also normal. At same time, there was some checking on the spinal fluid because the doctor wanted to rule out any chance of meningitis.”Dr Lau added that after discussion with the parents, doctors started the baby on antiviral medication.“Now the baby’s condition is stable. We are still observing the response of the baby because the baby has just been admitted for one day.”It was also revealed that the baby came into contact with a confirmed patient last month, which is when he may have become infected.",https://www.news.gov.hk/eng/2020/04/20200401/20200401_175250_874.html?type=category&name=health&tl=t
1,"April 1, 2020",Business restrictions gazetted,Health & Community,"The Government has gazetted the Prevention & Control of Disease (Requirement & Directions) (Business & Premises) (Amendment) Regulation.The amendment regulation empowers the Secretary for Food & Health to issue directions, for public health reasons, to restrict the mode of operation, operating hours or require the closure of beauty parlours, clubhouses, nightclubs as well as premises for karaoke, mahjong tin-kau and massage.The Secretary for Food & Health issued directions today to be effective for 14 days from 6pm.The directions include the closures of karaoke, mahjong-tin kau and nightclub establishments as well as the suspension of karaoke and mahjong-tin kau activities in catering premises and clubhouses.People must wear masks in beauty parlours, clubhouses and massage establishments. These premises must also conduct body temperature screening and provide hand sanitisers before anyone enters.The amendment regulation was made in accordance with the Prevention & Control of Disease Ordinance.The maximum penalty for offenders is imprisonment for six months and a $50,000 fine.",https://www.news.gov.hk/eng/2020/04/20200401/20200401_180401_719.html?type=category&name=health&tl=t
2,"April 1, 2020",Viral tests for home confinees,Health & Community,"(To watch the full press briefing with sign language interpretation, clickhere.)The Hospital Authority said the test centre located in AsiaWorld-Expo will provide COVID-19 tests to people under home quarantine if they develop relevant symptoms.The authority’s Chief Manager (Quality & Standards) Dr Lau Ka-hin noted at a press briefing today that the authority is trying to maximise the use of the temporary test centre in view of the decreasing inbound travellers.""AsiaWorld-Expo started to receive overseas travellers (with) symptoms of respiratory tract infection as well as fever since March 20.""Initially, most of the patients were travellers. As there will be fewer travellers coming to Hong Kong, we want to (make) better use of AsiaWorld-Expo.""We started to divert the patients who have symptoms (and are under) compulsory home quarantine to AsiaWorld-Expo for testing.""Dr Lau said the centre will arrange nasal swab tests for the patients who will then have to wait for the results at the centre.""If the patient has a positive result, the patient will be transferred to our hospital for further management. If the patient’s result is negative, the patient can go home.""He added 42 out of 698 people have tested positive for COVID-19 after undergoing tests at AsiaWorld-Expo so far.",https://www.news.gov.hk/eng/2020/04/20200401/20200401_183721_122.html?type=category&name=health&tl=t
3,"April 1, 2020",Gov't uses risk-based approach,Health & Community,"(To watch the full media session with sign language interpretation, click here.)The Government takes a risk-based approach when deciding which premises to close temporarily to prevent the spread of COVID-19.Secretary for Food & Health Prof Sophia Chan made the statement when speaking to reporters today.""There are all these premises where there are activities that have more gathering opportunities. These are high-risk premises, and therefore we chose to close these premises.""We also look into the confirmed cases, and also all the clusters, so those are one of the information sources that we are relying on.""Regarding beauty parlours,Prof Chan said: ""We think they also have some risk. At this point in time, we gave directions on infection control measures.""People who enter these premises will have to wear masks, Prof Chan said, adding that these establishments must also conduct temperature screening and provide hand sanitisers.""Of course, we will continue to monitor the situation and we would not rule out any further measures, such as closures or other measures, if the situation changes.”",https://www.news.gov.hk/eng/2020/04/20200401/20200401_203740_023.html?type=category&name=health&tl=t
4,"April 2, 2020",Door-to-door specimen collection set,Health & Community,"Participants of a COVID-19 surveillance programme can make use of a door-to-door specimen collection service starting April 3 to submit their deep throat saliva specimens to the Department of Health for coronavirus testing.Under the Enhanced Laboratory Surveillance Programme, the department is currently providing a free COVID-19 testing service for asymptomatic inbound travellers arriving from overseas under the Compulsory Quarantine of Persons Arriving at Hong Kong from Foreign Places Regulation.Participants can either visit the department’s temporary specimen collection centre at the AsiaWorld-Expo for collecting and submitting their deep throat saliva specimens immediately upon arrival, or ask family members or friends to help deliver the specimens to designated collection points if they choose to collect the specimens during home quarantine.To offer an alternative to inbound travellers, the Cyberport Startup Alumni Association has pulled together two member companies - GoGo Tech and HK PICK-UP - to provide a door-to-door specimen collection service.Upon receiving requests from inbound travellers, the service providers will collect their specimen bottles from their registered address, except for outlying islands and other remote areas, and drop them off at a designated clinic or the Public Health Laboratory Centre.Service providers will directly contact the individual inbound traveller and charge them a $100 fee.The Government thanked the association and the two service providers for their support and contributionsin fighting COVID-19 together.It saidthe door-to-door collection service will fill an existing service gap and offer a convenient alternative for all inbound travellers who need to submit their specimens.This will help ensure the early identification of confirmed cases for better public health protection, the Government added.",https://www.news.gov.hk/eng/2020/04/20200402/20200402_134537_112.html?type=category&name=health&tl=t
5,"April 2, 2020",37 new COVID-19 cases confirmed,Health & Community,"The Centre for Health Protection today announced that it is investigating an additional 37 cases of COVID-19, taking the number of confirmed cases in Hong Kong to 802.The newly reported cases involve 21 males and 16 females aged between two and 71.Among them, 30 had travel history during the incubation period and 17 are overseas students.The centre’s epidemiological investigations and relevant contact tracing on confirmed cases are ongoing.It also urged members of the public to maintain an appropriate social distance with other people as much as possible, to go out less and avoid social activities to reduce the chance of contacting infected people who may not present any symptoms.For information and health advice on COVID-19, visit the Government’s dedicated webpage.",https://www.news.gov.hk/eng/2020/04/20200402/20200402_173358_276.html?type=category&name=health&tl=t
6,"April 2, 2020",HA gives update on isolation beds,Health & Community,"(To watch the full press briefing with sign language interpretation, click here.)The Hospital Authority today said it is working on various plans to ensure it can provide enough isolation beds to accommodate the increasing number of COVID-19 cases.The authority’s Chief Manager (Quality & Standards) Dr Lau Ka-hin emphasised that even though there are more than 1,000 isolation beds, not all of them are being used to treat those infected with the virus.""(As) for isolation beds, yes, we are running out of isolation beds because (for) the 1,033 isolation beds (that we have) - some of them are in the intensive care units, in pediatric units and general wards - not (all) are (being) used for the purpose of isolating patients with COVID-19.""Up to 3pm, there are four confirmed cases that are waiting to go to hospitals for treatment.""Dr Lau explained that second-tier isolation wardsare currently being set up to free up space for new cases.""We are preparing the second-tier isolation wards now. We hope that patients can be transferred from the first-tier isolation wards to the second-tier isolation wards in order to retain more beds and more room in first-tier isolation facilities to accommodate the confirmed cases.""Dr Lau added that the authority is looking at alternative locations for setting up moreisolation facilities.""There is no definite plan. We are looking for any kind of possible facilities which can help the Hospital Authority to accommodate the recovering confirmed cases so that we can have more isolation facilities inside the hospitals.""",https://www.news.gov.hk/eng/2020/04/20200402/20200402_184229_444.html?type=category&name=health&tl=t
7,"April 2, 2020",Restrictions on bars gazetted,Health & Community,"The Government issued directions in the Gazette today toclose bars and premises selling liquor for 14 days from 6pm on April 3.The Secretary for Food & Health issued the directions in accordance with the Prevention & Control of Disease (Requirements & Directions) (Business & Premises) Regulation.The directions include the closure of bars and pubs, as well as any part of a catering business premise or a clubhouse mainly used for the sale or supply of intoxicating liquors for consumption.The new measures were introduced due to the emergence of 62 confirmed COVID-19 cases related to the bar and band cluster with further spread to an additional 14 cases who had not visited bars.The Government on April 1 introduced directions on the closure of karaoke, mahjong-tin kau and nightclub establishments as well as the suspension of karaoke and mahjong-tin kau activities in catering premises and clubhouses.It has also been reviewing the feasibility of relevant measures and will make timely adjustments according to the latest developments of the disease.",https://www.news.gov.hk/eng/2020/04/20200402/20200402_195740_071.html?type=category&name=health&tl=t
8,"April 2, 2020",Bar closure directions explained,Health & Community,"(To watch the full media session with sign language interpretation, click here.)A further spread of COVID-19, which originated from people who had been to bars, prompted the Government to order the closure of bars and pubs.Secretary for Food & Health Prof Sophia Chan made the statement today when explaining the latest directions under thePrevention & Control of Disease (Requirements & Directions) (Business & Premises) Regulation to reporters.“First of all, we are seeing more and more cases. Secondly, we are also seeing secondary as well as tertiary spread among people who have been to bars.”Prof Chan explained that the Government has already put in place infection control measures to prevent the further spread of the virus.“But then when we see that there are these secondary and also tertiary transmissions, that is, through the contact tracing done by the Centre for Health Protection, it really rang the bell that we cannot allow the transmissions to continue.“If we look at these secondary and tertiary transmissions, it was really in the last two days that the Centre for Health Protection had done the contact tracing.“So that's why we have moved swiftly and decided today that we should close these bars and also pubs.”",https://www.news.gov.hk/eng/2020/04/20200402/20200402_212143_426.html?type=category&name=health&tl=t
9,"April 3, 2020",Grave sweeping appeal issued,Health & Community,"In view of the severe epidemic situation, the Government today appealedto the public to defer any plans to go grave sweeping onChing Ming Festivaltomorrow to avoid the festival's peak period.It also reminded grave-sweepers to avoid group gatherings, maintain an appropriate social distance from others at all times, and avoid meal gatherings with relatives and friends at worship sites.Members of the public must abide by the Prevention & Control of Disease (Prohibition on Group Gathering) Regulation that came into effect on March 29 by having not more than four people together during grave sweeping, unless they are living in the same household.In addition, a distance of at least 1.5 metres should be maintained between grave-sweepinggroups.Grave-sweepers should maintain good personal hygiene, wear surgical masks and keep their hands clean. They should also keep flammable items such as alcohol antiseptic sprays and alcohol-based hand sanitisers away from ignition sources, incense and candles, and furnaces for safety'ssake.The Government also urged those who wish to travel tothe Mainland to pay their respects toancestors to consider postponing their trips in light of the quarantine measures implemented by various Mainland provinces and cities for arrivals.",https://www.news.gov.hk/eng/2020/04/20200403/20200403_134205_062.html?type=category&name=health&tl=t
