,Date,Title,category,Content,URL
0,"February 1, 2020",Hotels checked for Hubei visitors,Health & Community,"Immigration Department and Centre for Health Protection staff have inspected more than 500 hotels and hostels to find visitors from Hubei who are still staying in Hong Kong.Secretary for Food & Health Prof Sophia Chan made the statement after attending a radio programme today.Prof Chan said that although their visas are valid for seven days, the Government understands that these visitors may still be in Hong Kong.“So far, after checking the 500 hotels and hostels, 49 people have been identified, and among these 49 people, 30 people either have left or will be leaving Hong Kong very soon.“The general procedure is after we have identified these people, we will arrange for them to go to our quarantine camp.“Some of them, their visas may be expiring very soon so they will leave Hong Kong and some of them may choose to leave Hong Kong immediately.”",https://www.news.gov.hk/eng/2020/02/20200201/20200201_121826_019.html?type=category&name=health&tl=t
1,"February 1, 2020",Patients urged to be honest,Health & Community,"Secretary for Food & Health Prof Sophia Chan today appealed to people who are not feeling well to be honest about their travel and medical history when consulting a doctor.Speaking to reporters after attending a radio programme, Prof Chan said honesty will aid patients’ diagnoses.“Not only for the patient, I think this is also for the protection of our healthcare professionals as well.“Under Cap. 599 of the Prevention & Control of Disease Ordinance, in order to prevent the infectious disease and also to prevent the spread of the infectious disease, there is a legal framework provided where people must give honest information to our health officers.”She said if people do not give honest information, they will face a penalty of $5,000 and six-month imprisonment.“As far as whether Hospital Authority officers would be given the same authority, we are now urgently looking into the legislation and working towards this situation,” she added.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_122042_653.html?type=category&name=health&tl=t
2,"February 1, 2020",Basic public services to resume,Health & Community,"In light of the extended special work arrangement for government employees and the latest development of the novel coronavirus infection, some government departments will provide basic and limited services starting February 3.The Home Affairs Department will resume basic and limited public services starting that day until further notice.Home Affairs Enquiry Centres will be open between 9am and 5pm from Monday to Friday, while the centre in Mui Wo will only open on Monday, Wednesday and Friday.The service to administer declarations or oaths/affirmations for private use will be available.The Estate Beneficiaries Support Unit will provide limited services. Its hotline and service counter will operate from 9am to 1pm and from 2pm to 5pm from Monday to Friday.The Office of the Licensing Authority will also provide limited services.Submissions of licensing applications in connection with hotels, guesthouses and other premises as well as entertainment can be made by post or using e-submission.All community halls and community centres will be temporarily closed, except when being used as temporary cold shelters when the cold weather warning is in force.People can call the enquiry hotline at 2835 2500 between 9am and 7pm from Monday to Friday.Meanwhile, the Registration & Electoral Office announced that its hotline service will be provided from 8.45am to 6pm, Monday to Friday starting from February 3.The Department of Health announced that services of three Woman Health Centres will be suspended starting from February 3. The staff of the centres will make separate arrangements for users with prior appointments.The AIDS and Gay Men HIV Testing hotlines of the department’s AIDS Counselling & Testing Service will continue to provide telephone counselling services.However, both telephone and online bookings for HIV testing have been suspended until further notice. Those who have already made an appointment for HIV testing by phone or online will not be affected.The Transport Department Licensing Offices at Admiralty, Cheung Sha Wan, Kwun Tong and Sha Tin, and itsDriving Test Appointment Office at Cheung Sha Wan will open from 10am to 3pm from Monday to Friday for the provision of counter services, except for the direct issue of a full Hong Kong driving licence.The Inland Revenue Department will provide limited service from 9am to 4pm at its Business Registration Office, Stamp Office, Central Enquiry Counter and for tax clearance for taxpayers leaving Hong Kong.Deadlines for tax payments, lodgement of objections and holdover applications and submission of tax returns and information that fall between January 29 and February 9 will be automatically extended to February 10.The Employment Agencies Administration under the Labour Department will also provide limited counter services from 9am to 1pm and from 2pm to 6.15pm from Monday to Friday.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_144738_175.html?type=category&name=health&tl=t
3,"February 1, 2020",HK Post to provide basic services,Health & Community,"Hongkong Post today announced that it will provide basic and limited public services from February 3 to 9.The move was made in light of the special work arrangement announced by the Government to reduce the risk of the novel coronavirus’ spread in the community.During the period, all post offices will open from 11am to 3pm from Monday to Friday and 9.30am to 1pm on Saturday for the provision of counter services, while Mobile Post Office service will remain suspended.Mail delivery and collection from posting boxes will be provided on alternate days.Posting and delivery of outbound and inbound Speedpost items will be maintained from Monday to Saturday.Clickhere for the latest updates or call 2921 2222 for further enquiries.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_134444_962.html?type=category&name=health&tl=t
4,"February 1, 2020",Basic public services to resume,Health & Community,"In light of the extended special work arrangement for government employees and the latest development of the novel coronavirus infection, some government departments will provide basic and limited services starting February 3.The Home Affairs Department will resume basic and limited public services starting that day until further notice.Home Affairs Enquiry Centres will be open between 9am and 5pm from Monday to Friday, while the centre in Mui Wo will only open on Monday, Wednesday and Friday.The service to administer declarations or oaths/affirmations for private use will be available.The Estate Beneficiaries Support Unit will provide limited services. Its hotline and service counter will operate from 9am to 1pm and from 2pm to 5pm from Monday to Friday.The Office of the Licensing Authority will also provide limited services.Submissions of licensing applications in connection with hotels, guesthouses and other premises as well as entertainment can be made by post or using e-submission.All community halls and community centres will be temporarily closed, except when being used as temporary cold shelters when the cold weather warning is in force.People can call the enquiry hotline at 2835 2500 between 9am and 7pm from Monday to Friday.Meanwhile, the Registration & Electoral Office announced that its hotline service will be provided from 8.45am to 6pm, Monday to Friday starting from February 3.The Department of Health announced that services of three Woman Health Centres will be suspended starting from February 3. The staff of the centres will make separate arrangements for users with prior appointments.The AIDS and Gay Men HIV Testing hotlines of the department’s AIDS Counselling & Testing Service will continue to provide telephone counselling services.However, both telephone and online bookings for HIV testing have been suspended until further notice. Those who have already made an appointment for HIV testing by phone or online will not be affected.The Transport Department Licensing Offices at Admiralty, Cheung Sha Wan, Kwun Tong and Sha Tin, and itsDriving Test Appointment Office at Cheung Sha Wan will open from 10am to 3pm from Monday to Friday for the provision of counter services, except for the direct issue of a full Hong Kong driving licence.The Inland Revenue Department will provide limited service from 9am to 4pm at its Business Registration Office, Stamp Office, Central Enquiry Counter and for tax clearance for taxpayers leaving Hong Kong.Deadlines for tax payments, lodgement of objections and holdover applications and submission of tax returns and information that fall between January 29 and February 9 will be automatically extended to February 10.The Employment Agencies Administration under the Labour Department will also provide limited counter services from 9am to 1pm and from 2pm to 6.15pm from Monday to Friday.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_144738_175.html?type=category&name=health&tl=t
5,"February 1, 2020",Healthcare workers protected,Health & Community,"(To watch the video with sign language interpretation, click here.)Healthcare workers are equipped with protective equipment when they come into contact with novel coronavirus infection cases.The Hospital Authority’s Chief Manager (Infection, Emergency & Contingency) Dr Vivien Chuang made the statement at a press conference today.Responding to a question about the 12th confirmed novel coronavirus infection case, Dr Chuang said 70 healthcare workers came into contact withthe infectedpatient.“All of them were equipped with appropriate personal protective equipment.“So they are considered as having protected exposure and also, it’s not close contact with the patient, so they are now put under medical surveillance for 14 days.”",https://www.news.gov.hk/eng/2020/02/20200201/20200201_172837_686.html?type=category&name=health&tl=t
6,"February 1, 2020",CHP confirms another infection case,Health & Community,"The Centre for Health Protection today announced it is investigating an additional case of novel coronavirus infection involving an 80-year-old man.  The man lived in Kwai Chung Estate and presented with a cough on January 19. He started having fever since January 30.  He sought medical attention at Caritas Medical Centre that day and was admitted for isolation.  Later, he was transferred to Princess Margaret Hospital for further management and is in a stable condition.  The centre immediately commenced epidemiological investigations and conducted contact tracing.  According to the patient’s information, he went to the Mainland for a few hours through Lo Wu border control point on January 10. He took a flight from Hong Kong to Tokyo, Japan, on January 17 and boarded a cruise at Yokohama on January 20. The cruise arrived at Kai Tak Cruise Terminal on January 25.  Investigations revealed that he didn’t visit healthcare facilities, wet markets or seafood markets, nor did he have exposure to wild animals during the incubation period.  He lived with his wife and travelled to Japan with his two daughters.  Additionally, the Hospital Authority said public hospitals, as of noon today and over the past 24 hours, admitted 69 patients who met the reporting criteria of novel coronavirus infection.  The patients include 33 males and 36 females aged between 3 months and 85. Their specimens have been sent to the Department of Health for testing.  There are currently 112 patients under isolation, it added.  The authority will maintain close contact with the Centre for Health Protection to monitor the latest developments and to inform the public and healthcare workers on the latest information in a timely manner.  The centre will update reported cases of novel coronavirus infection on its dedicated webpage.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_211106_319.html?type=category&name=health&tl=t
7,"February 1, 2020",HK Post prioritises mask deliveries,Health & Community,"Hongkong Post today said it will arrange additional manpower on February 2 to handle urgent inward mail items and accord higher priority for surgical mask deliveries.It made the statement in response to media enquiries about the mail handling situation of the Air Mail Centre.Despite the Government announcement about the special work arrangement for government departments to reduce the risk of the novel coronavirus’ spread, Hongkong Post has maintained normal services for inbound Speedpost items to strike a balance between the public need and the well-being of its staff.It has also taken the initiative to locate items declared to be surgical masks for priority delivery.Hongkong Post estimated that the number of mail items containing surgical masks accounted for about 25% of urgent inwarditems pending delivery.It estimated that the delivery of these items will be completed by February 3.Additionally, the posting and delivery of outbound and inbound Speedpost items will be maintained between February 3 and 8, it added.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_212329_989.html?type=category&name=health&tl=t
8,"February 1, 2020",Gov’t clarifies mask-related rumours,Health & Community,"The Correctional Services Department (CSD) provided surgical masks to non-governmental organisations before the disease outbreak, the Government said today.It made the statement in response to a media report which said that surgical masks produced by the department were found in the community.Owing to the keen local demand, the department has stopped taking orders other than from the Government Logistics Department (GLD).Surgical masks obtained by the GLD from the CSD will only be distributed to departments in need and will not be delivered outside Hong Kong, the statement said.The Government added it will follow up if any public officer is found to have stolen surgical masks.Regarding media reports about the distribution of surgical masks donated by a non-governmental organisation by a political party, the Government pointed out that although the Chief Executive is the honorary patron of the organisation concerned, the surgical masks involved were not provided by the Government.The Government is proactively increasing the supply of masks through a multi-pronged approach, it said, adding that it will always take the health of Hong Kong people as the first consideration.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_223520_281.html?type=category&name=health&tl=t
9,"February 1, 2020",Academy fit for quarantine use,Health & Community,"The Government today said that it considers the Jao Tsung-I Academy to be suitable for use as a quarantine centre.  It made the statement in response to media enquiries regarding the conversion of the academy into a quarantine facility.  The academy is located on a hill, relatively distanced from residential areas and its overall facilities meet relevant requirements.  The facility can be converted into a quarantine centre which can commence operation quickly, it said.  Currently, the MacLehose Holiday Village and the Lei Yue Mun Park & Holiday Village have been turned into quarantine centres.  The Po Leung Kuk Jockey Club Pak Tam Chung Holiday Camp will also be used as a quarantine centre soon.  There is an urgent need for the Government to provide more quarantine facilities.  When searching for potential sites, the Government thoroughly considers whether the facilities meet the requirements for a quarantine centre.  As suitable sites meeting the requirements are limited, it is difficult to identify facilities that can be converted into quarantine centres.  The Government hopes that members of the public could understand the reasons to use the academy as a quarantine centre and added that it will ensure that all centres will comply with stringent operational requirements.",https://www.news.gov.hk/eng/2020/02/20200201/20200201_224803_814.html?type=category&name=health&tl=t
