,Date,Title,category,Content,URL
0,"January 2, 2020",Golf tournament gets ‘M’ Mark,Health & Community,"The Major Sports Events Committee today announced it has awarded ""M"" Mark status to the Hong Kong Open.The prestigious golf event, which had been postponed earlier, will now be held from January 9 to 12.This event adds colour and vibrancy to Hong Kong and provides an opportunity for people to enjoy high-level competition, the committee’s Chairman Karl Kwok said.Such events reinforce Hong Kong's position as the events capital of Asia, he said, adding that they also help generate economic benefits for the city.About $184.61 million has been approved so far to support these events.Click here for details.",https://www.news.gov.hk/eng/2020/01/20200102/20200102_130848_570.html?type=category&name=health&tl=t
1,"January 2, 2020",Lunar eclipse on Jan 11,Health & Community,"A penumbral lunar eclipse will occur on January 11, the Hong Kong Observatory said today.Theeclipse will start at 1.05am and end at 5.15am, with the maximum eclipse occurring at 3.10am.A penumbral lunar eclipse occurs when the moon only enters the penumbra of the Earth but not the umbra. During the event, the moon will become slightly dimmer.The next lunar eclipse will also be a penumbral one on June 6.",https://www.news.gov.hk/eng/2020/01/20200102/20200102_154246_303.html?type=category&name=health&tl=t
2,"January 2, 2020",No speedpost service to Wuhan,Health & Community,"Hongkong Postsaid today that its Speedpost service to Wuhan was suspended after flights scheduled for conveying Speedpost items to the city were cancelled since November 16, 2019.  Responding to media enquiries, the departmentexplained thatit needs to negotiate with other air carriers and China Post to arrange alternative postal routes for Speedpost service to Wuhan.  Economy Express, surface mail and airmail services to Wuhan remain normal, it added.",https://www.news.gov.hk/eng/2020/01/20200102/20200102_195315_159.html?type=category&name=health&tl=t
3,"January 3, 2020",CE tours XRL health checkpoint,Health & Community,"Chief Executive Carrie Lam today visited the West Kowloon Station of the Guangzhou-Shenzhen-Hong Kong Express Rail Link to inspect health surveillance measures taken there in response to the cluster of pneumonia cases detected in Wuhan.These measures include the provision of health information, body temperature checks by the thermal imaging system and handling of feverish travellers.She spoke with frontline officers to learn about the implementation of preventive and control measures, and thanked them for safeguarding the health of citizens and travellers.The Chief Executive also inspected the enhanced cleaning work inside the station.While there have been no serious pneumonia cases related to those in Wuhan detected in Hong Kong so far, Mrs Lam said the Government has stepped up surveillance measures at boundary control points, adding healthcare staff have been alerted to stay vigilant.She appealed to members of the public to strengthen personal and environmental hygiene and advised travellers with respiratory symptoms to wear surgical masks and seek medical attention.",https://www.news.gov.hk/eng/2020/01/20200103/20200103_193732_648.html?type=category&name=health&tl=t
4,"January 3, 2020",44 Wuhan-related cases detected,Health & Community,"Forty-four pneumonia cases have been detected in Wuhan, with 11 cases in serious condition, the Centre for Health Protection said today after it received notification from the National Health Commission.  According to the commission’s information, all patients are receiving treatment in isolation, while 121 close contacts are under medical surveillance.  Epidemiological investigations revealed that some patients are business operators at a seafood market in Wuhan.  So far, no obvious human-to-human transmission has been observed and no healthcare workers have been infected.  While the causative pathogen and cause of infection are still under investigation, influenza viruses, avian influenza viruses and other common respiratory diseases such as adenovirus have been ruled out as the cause.  Taking into consideration the latest situation, the centre said it has widened the scope of surveillance.  Doctors are requested to report to the centre if they encounter patients with fever and acute respiratory or pneumonia symptoms who have visited Wuhan within 14 days before the onset of the illness.  The centre said that it has also strengthened port health measures.  An additional thermal imaging system dedicated to checking the body temperature of travellers from Wuhan has been installed at the Hong Kong International Airport.  Additional manpower for checking the body temperature of inbound travellers has also been assigned to West Kowloon Station of the Guangzhou-Shenzhen-Hong Kong Express Rail Link, it said.  Those with relevant symptoms and travel history will be immediately referred to public hospitals for isolation, treatment and follow-up.  Meanwhile, public hospitals have as at noon in the past 24 hours admitted two females who have been to Wuhan in the past 14 days, the Hospital Authority announced.  They presented with fever and respiratory infections or pneumonia symptoms.  The authority said the patients, aged 12 and 41, are in stable condition and are being treated in isolation at Princess Margaret Hospital.  A preliminary investigation shows that both patients had not been to a wet market in Wuhan before their symptoms appeared.  The authority has sent specimens to the Department of Health for testing and will keep monitoring their conditions.  Public hospitals have reported five such cases to the department since December 31. Two of these patients have been discharged.",https://www.news.gov.hk/eng/2020/01/20200103/20200103_193832_067.html?type=category&name=health&tl=t
5,"January 4, 2020",Disease contingency plan set,Health & Community,"The Government today launched aplan that sets out its preparedness and response scheme in case of a novel infectious disease outbreak of public health significance.  A three-tier response levelhas beenadopted in the plan that includes alert, serious and emergency.  Upon the risk assessment of the cluster of cases of viral pneumonia with unknown cause in Wuhan, the Government activated the serious response level with immediate effect.  The serious response level means the immediate health impact on the local population is moderate.  The Government explained that the three response levels will be activated based on the risk assessment of how the new infectious disease may affect Hong Kong and its impact on the community.  The Centre for Health Protectionpointed out that the current cluster of viral pneumonia cases in Wuhan can be regarded as a novel infectious disease of public health significance.  The Government will assess the risk from time to time in view of the latest scientific evidence and situation, activate or deactivate the response level and implement corresponding measures, the centre added.",https://www.news.gov.hk/eng/2020/01/20200104/20200104_101121_353.html?type=category&name=health&tl=t
6,"January 4, 2020",Gov't steps up disease monitoring,Health & Community,"The Governmenthas taken multiple steps to widen surveillance in response to the current cluster of viral pneumonia cases in Wuhan.Meeting the media today after attending a radio programme, Secretary for Food & Health Prof Sophia Chan explained that a contingency plan has already been put in place.“In launching this Preparedness & Response Plan for Novel Infectious Disease of Public Health Significance, we have placed it in the serious response level.”An interdepartmental meeting was also held to enhance prevention and control of the viral pneumonia infection.“One of the issues is that we have already met with different bureaus and related departments to heighten the surveillance and cleanliness as well as the prevention and control of this disease. We have already done that.“All the different departments such as the Education Bureau and Social Welfare Department, all these departments are already increasing their vigilance towards this disease.“The Centre for Health Protection has also issued letters to private doctors and Chinese medical practitioners so that they are alerted to the situation.”The centrehas increased manpower at the ports to monitor incoming passengers and will enhance publicity to alert people who have travelled to Wuhan, Prof Chan added.",https://www.news.gov.hk/eng/2020/01/20200104/20200104_135049_796.html?type=category&name=health&tl=t
7,"January 4, 2020",3 Wuhan-related cases reported,Health & Community,"Public hospitals, as of noon today and over the past 24 hours, admitted three people who had been to Wuhan in the past 14 days, the Hospital Authority announced.The patients presented symptoms of fever, respiratory infection or pneumonia.The authority explained that the patients,one male and twofemales aged between four and 50, are in stable condition and are being treated in isolation at Prince of Wales, Tseung Kwan O and Tuen Mun hospitals.The authority has sent specimens to the Department of Health for testing and will keep monitoring their conditions.Public hospitals have reported eight suchcases to the department since December 31. Five of these patients have been discharged.",https://www.news.gov.hk/eng/2020/01/20200104/20200104_182235_901.html?type=category&name=health&tl=t
8,"January 5, 2020",59 Wuhan-related cases detected,Health & Community,"Fifty-nine pneumonia cases have been detected in Wuhan, with no fatal cases recorded, the Centre for Health Protection said today after it received notification from the National Health Commission.  According to the commission’s information, all patients are receiving treatment in isolation, while 163 close contacts are under medical surveillance.  Epidemiological investigations revealed that some patients are business operators at a seafood market in Wuhan.  So far, no evidence of definite human-to-human transmission has been identified and no healthcare workers have been infected.  While the causative pathogen and cause of infection are still under investigation, influenza viruses, avian influenza viruses and other respiratory pathogens such as adenovirus, severe acute respiratory syndrome and Middle East Respiratory Syndrome have been ruled out as the cause.  According to the World Health Organization’s risk assessment, the pneumonia infections may be linked to exposure to animals.  Meanwhile, public hospitals, as of noon today and over the past 24 hours, admittedseven people who had been to Wuhan in the past 14 days, the Hospital Authority announced.  The patients presented symptoms of fever, respiratory infection or pneumonia.  The authority explained that the patients, four males and three females aged between two and 55, are in stable condition and are being treated in isolation at Princess Margaret, Queen Elizabeth, Ruttonjee & Tang Shiu Kin and Tseung Kwan O hospitals.  The patients had not been to a wet market in Wuhan before their symptoms appeared.  The authority has sent specimens to the Department of Health for testing and will keep monitoring their conditions.  Public hospitals have reported 15 such cases to the department since December 31. Five of these patients have been discharged.",https://www.news.gov.hk/eng/2020/01/20200105/20200105_170641_656.html?type=category&name=health&tl=t
9,"January 6, 2020",Nursing course applications open,Health & Community,"The Social Welfare Department is inviting applications for two nursing courses.Conducted by the Open University of Hong Kong, the two-year full-time higher diploma programmes in general nursing and psychiatric nursing will offer 200 and 30 places.The department said the programmes are part of its efforts to alleviate the shortage of nurses in the welfare sector.Classes will start on September 1.Applicants must be at least 18 years old and have attained Level 2 or above in five subjects in the Hong Kong Diploma of Secondary Education Examination, or completed a pre-associate degree programme, or an equivalent qualification.The department will subsidise trainees provided they work in the welfare sector for at least two years upon graduation.Applications close on February 22.Call 3120 2661 or 3120 2662 for enquiries.Click here for the application form.",https://www.news.gov.hk/eng/2020/01/20200106/20200106_120027_787.html?type=category&name=health&tl=t
