,Date,Title,category,Content,URL
0,"June 1, 2020",3 local COVID-19 cases reported,Health & Community,"(To watch the full pressbriefing with sign language interpretation, clickhere.)The Centre for Health Protection today reported that it is investigatingthreelocally transmitted COVID-19 cases whichall have an epidemiological link tothe 34-year-old woman confirmed infected yesterday.Further explaining the cases at a press briefing,Centre for Health Protection Communicable Disease Branch Head Dr Chuang Shuk-kwan said one of them is a27-year-old ambulanceman who had taken the34-year-old patient (case number1084) to Prince of Wales Hospital last week.Dr Chuang notedthe source of the paramedic'sinfection is still under investigation.“He had obvious contact with (case number) 1084, that is why we know that he is a known contact of 1084.“He also recalled he had accompanied another case on May 29, but at that time he accompanied the case from Chun Yeung Estate to Prince of Wales Hospital with full personal protective equipment without any high risk procedure, so we consider the risk for that occasion is very small. But is there any other possibility that he might have had previous contact? We are still investigating.”The ambulanceman, like the female patient,lives in Lek Yuen Estate, Sha Tin. However, Dr Chuangruled out anoutbreak at the estate for now.“I do not think there is an outbreak in Lek Yuen Estate at the moment because the two cases in Lek Yuen Estate(involved a) couple, andthis one has a known contact with the case. So there are no other cases yet in Lek Yuen Estate at the moment.”The other two confirmed cases are women aged40 and36 who work with the34-year-old patient at awarehouse in Kwai Chung.“For the warehouse, I understand there is a hypothesis. That is why we also took samples from the packaging last night, from the food packaging and we have not found any positive result at the moment so we have no evidence to sustain this hypothesis at the moment.”Additionally, the Hospital Authority reported that 47 confirmed COVID-19 patients are currently hospitalised and 1,037 confirmed and suspected patients have been discharged.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/06/20200601/20200601_172540_508.html?type=category&name=health&tl=t
1,"June 1, 2020",Private clinics urged to step up testing,Health & Community,"(To watch the full pressbriefing with sign language interpretation, clickhere.)The Department of Health today urged private doctors to be vigilant by offering COVID-19 testing forpatients who come to them with symptoms, even if the symptoms are mild.Briefing the media this afternoon, Under Secretary for Food & Health Dr Chui Tak-yi said the co-operation of doctors in the private sector is very important in identifying suspected cases.“There are maybe close to 7,000 doctors working in the private sector. So if they can be vigilant enough and also offer tests for patients who attend their clinic presenting with respiratory symptoms or mild symptoms that are suggestive of COVID-19, then of course that would become a very extensive network to facilitate community testing.“Noting that local infection cases have occurred sporadically, Dr Tsui called on members of the public to seek medical advice as soon as they develop respiratory or mildsymptoms, and proactively discuss with their doctors whether testing should be conducted.“We also would like to call for the alertness and also co-operation of citizens in general because many of them when they suffer from a very mild illness they may choose not to go to a doctor.“There are still sporadic local cases and also potential local clusters because we do not know yet how extensive this current cluster is, so we need time to establish and we cannot predict which local case can become a bigger local cluster.”",https://www.news.gov.hk/eng/2020/06/20200601/20200601_172932_638.html?type=category&name=health&tl=t
2,"June 2, 2020",New COVID-19 cluster a concern,Health & Community,"(To watch the full media session with sign language interpretation, click here.)The Government is highly concerned about a COVID-19 community cluster linked to a Lek Yuen Estate resident as it reflects some characteristics not seen before and warrants more investigation into tracing the source of infection.Chief Executive Carrie Lam made the remarks ahead of today’s Executive Council meeting, adding that of particular concern was that the patients lived in the same building yet were not affected by thedrainage system or the building structures.“We have seen a lot of infections in family contacts. But in the workplace, we have seen a little bit (of it) in the workplace, in a bar, a band and so on. But in the environment, so living in the same building but not affected by the drainage system or the building structures, is something that gets me very worried and also I believe the experts.“So they have to do a lot more investigation to trace the causes of these infections and to receive as quickly as possible the specimens back, so that we have a better idea of the extent and the spread of the infections in the local community.“So with that background and new development, I said that we will adopt a very cautious and prudent approach in dealing with the various measures that we have put in place.”Mrs Lam noted the Government will also have to decide on whether to continue the various measures that will expire this month, including those enhancing social distancing in catering and business premises,prohibiting group gatherings, and the 14-day mandatory quarantine imposed on arrivals from the Mainland, Macau and Taiwan as well as from foreign countries.“I do not want to give a firm view yet because again, you know this is Tuesday, we have an Executive Council meeting to follow. But I can tell you that we will announce the decision very soon.""The Chief Executive also pointed out thatsuch restrictions are imposed for the sake of public health.“It is not a matter of taking away people’s freedoms. Actually public health is also part of national security. National security is not just about explosives and rifles. National security includes financial security, includes public health security.“So when it comes to matters like public security, people will accept, Hong Kong people willingly abide by some of the restrictions in order to protect themselves, their families and society at large.”",https://www.news.gov.hk/eng/2020/06/20200602/20200602_102813_625.html?type=category&name=health&tl=t
3,"June 2, 2020",More HK people to return from India,Health & Community,"The second batch of Hong Kong residents stranded in India will take a special flight arranged by the Hong Kong Special Administrative Region Government to return to Hong Kong tomorrow morning at the earliest.The flight, tentatively scheduled to depart from Mumbai, will assist Hong Kong residents located in Mumbai and those in its surrounding areas with special needs such as people with illness, pregnant women, children as well as family members travelling with them.Over the past few days, the Immigration Department contacted assistance seekers who meet these circumstances to confirm their wishes to take the flight, and to obtain their personal particulars for applying for travel permission from the local government.It is initially estimated that the flight will carry about 300 people and the cost will be borne by the passengers. ãUpon arrival in Hong Kong, the returnees will proceed to the Temporary Specimen Collection Centre at AsiaWorld-Expo for compulsory COVID-19 testing.After their deep throat saliva samples are collected, the returnees will be transferred to the quarantine centre at Chun Yeung Estate for a 14-day compulsory quarantine.In view of the COVID-19 pandemic, the Indian Government has banned all international flight movements since late March.As at June 1, the Immigration Department has successfully contacted about 4,800 Hong Kong residents stranded in India. The first batch of about 250 residents stranded there returned to Hong Kong on May 18 on a chartered flight arranged by the Hong Kong SAR Government from New Delhi.There are still many Hong Kong residents in different areas of India. Considering the traffic restrictions still in place across India, and having regard to the quarantine arrangement for the returnees and the capacities of relevant facilities, the Hong Kong SAR Government will assist them in returning to Hong Kong in an orderly manner in batches subject to the circumstances.",https://www.news.gov.hk/eng/2020/06/20200602/20200602_142947_310.html?type=category&name=health&tl=t
4,"June 2, 2020",Anti-epidemic strategy explained,Health & Community,"(To watch the full press conference with sign language interpretation, click here.)Secretary for Food & Health Prof Sophia Chan today said that the Government'santi-epidemic strategy is based on public health factors and not on other considerations.Prof Chan made the statement at a press conference in the afternoon in response to a reporter’s question about whether the Government is extending anti-epidemicmeasures to prevent protests from taking place.She reiterated that the Government will come up with different strategies and adjust measures upon reviewing the local and global pandemic situations.“Just most recently we have a local cluster developed and we actually are very, very concerned about this local cluster because it appears that we have this local cluster after about 15 days of no local cases.“Basically if you talk about Cap 599G and also Cap 599F, we are now keeping the status quo. That is, for those measures that we have put in place under Cap 599G and Cap 599F, we will keep it for another 14 days.”Prof Chan added that the Government has the responsibility to deal with the local cluster.“So therefore, we are looking into and considering the different factors based on public health and not other considerations.”",https://www.news.gov.hk/eng/2020/06/20200602/20200602_173816_679.html?type=category&name=health&tl=t
5,"June 2, 2020",Quarantine measures to extend,Health & Community,"The Government will extend compulsory quarantine measures for people arriving in Hong Kong from both the Mainland and foreign places.Announcing the move in a press conference this afternoon, Secretary for Food & Health Prof Sophia Chan said that given the development of the epidemic situation in places within and outside the Mainland, there is a need to continue restricting the movement of people between Hong Kong and other places and implement compulsory quarantine measures to prevent imported cases.The Government will extend the expiry date of the Compulsory Quarantine of Certain Persons Arriving at Hong Kong Regulation (Cap 599C) by a month to July 7.The expiry date of the Compulsory Quarantine of Persons Arriving at Hong Kong from Foreign Places Regulation (Cap 599E) will be extended by three months to September 18.In the meantime, the Government holds the view that there is a need to introduce a mechanism to allow consideration of gradual relaxation of compulsory quarantine requirements for people arriving from specific countries and places after assessing the relevant public health risks.A mechanism will be introduced to empower the Secretary for Food & Health to specify two categories of places.People from Category 1 specified places will be subject to compulsory quarantine arrangements.For Category 2, people from these places will be excluded from the requirements in respect of the compulsory quarantine arrangements subject to meeting certain conditions, such as obtaining a negative COVID-19 test result.The arrangements forboth categoriesapply to locations within and outside China, Prof Chan said.At this stage, all places in China outside Hong Kong and all places outside China will be specified as Category 1 effective from midnight on June 5.Unless exempted pursuant to the regulations, arrivals from these places will be subject to the compulsory quarantine arrangements.Meanwhile, the criteria for the Chief Secretary to exempt travellers from the compulsory quarantine arrangements under Cap 599E will be expanded to cover people whose travelling is necessary for purposes relating to manufacturing operations, business activities or professional services in the interest of Hong Kong's economic development, and thus be aligned with relevant provisions under Cap 599C.The Government gazetted the amendments today.",https://www.news.gov.hk/eng/2020/06/20200602/20200602_173916_106.html?type=category&name=health&tl=t
6,"June 2, 2020",No evacuation needed for residents,Health & Community,"(To watch the full press conference with sign language interpretation, click here.)The Centre for Health Protection said the residential building where four newly confirmed COVID-19 patients reside will not be evacuated.In a press conference this afternoon, the centre’s Communicable Disease Branch Head Dr Chuang Shuk-kwan said thatfour of today’s six additional cases live in the same building - Luk Chuen House in Lek Yuen Estate - as a 34-year-old woman who was confirmed to be infected with COVID-19earlier. The remaining two are imported cases.Dr Chuang explained that no architectural defects have been found after it tested the toilets of the four new cases to determine if the virus could have been transmitted via the building’s drainage system or pipes.“We have tested the toilets of the four new cases. We have taken some environmental samples from the drainage service and vent pipes and all the test results have come back negative.“As Prof Yuen Kwok-yung has explained last night, no architectural defect has been observed that can explain the transmission route of these few cases. So there is no recommendation to evacuate the building because we have not found any architectural defects.""In its efforts to determine the source of this new cluster, Dr Chuang called on all residents living in same the building to hand in their specimen bottles as soon as possible.“We want to appeal to all the residents in this building to hand in their specimens, if they have not already handed them in, and we will try to trace the results of all of these residents to ascertain if there are other cases in the building.”Additionally, the Hospital Authority reported that 50 confirmed COVID-19 patients are currently hospitalised and 1,038 confirmed and suspected patients have been discharged.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/06/20200602/20200602_174643_208.html?type=category&name=health&tl=t
7,"June 2, 2020",LCSD provides ex-gratia payments,Health & Community,"The Leisure ï¼ Cultural Services Department is providing ex-gratia payment to personnel affected by the cancellation of programmes to relieve the impact of the pandemic.The payment is being made to those engaged in recreation and sports programmes organised or subvented by the department, including coaches and instructors.It is being offered to those directly engaged by the department or sports coaches and staff hired by national sports associations or sports organisations subvented under the Sports Subvention Scheme.The payment is also being offered to sports coaches from national sports associations or sports organisations who were engaged by the department through the Direct Purchase Authority Management System.The ex-gratia payment is equivalent to the amount of their original remuneration for cancelled programmes scheduled to commence or to be held from January 29 to March 31.Coaches and personnel are not required to submit applications. The department will release the payment to these people directly or through national sports associations or sports organisations.Disbursement of the payment began in May and is being carried out in batches.Additionally, the department will provide ex-gratia payment to instructors and speakers of seminars, workshops and training courses organised by the Hong Kong Public Libraries and the Music Office whose programmes were cancelled or could not be rescheduled due to venue closure, school suspension or the pandemic.",https://www.news.gov.hk/eng/2020/06/20200602/20200602_192347_962.html?type=category&name=health&tl=t
8,"June 3, 2020",Gov't regrets e-cigarette LegCo result,Health & Community,"The Government today expressed deep regret and disappointment over the Legislative Council bills committee’s decision to cease work on a billthat would have banned the sale of electronic cigarettes and heated tobacco products in Hong Kong.In a statement, the Government said the decision means that the Smoking (Public Health) (Amendment) Bill 2019 could not be passed in the current-term of LegCo and the Government could not, forpublic health protection, take early action to prevent e-cigarettes and heated tobacco products from establishing themselves in the city.The Government emphasised that it has all along spared no effort in explaining to legislators at the bills committee meetings justification for the proposed ban of alternative smoking products (ASPs)and the importance of the amendment bill’s early passage for public health protection.It also stepped up efforts to publicise the harm of ASPs in the community. Some 270 representatives had expressed their views in the three meetings the bills committee conducted with deputations.Its proposal has been widely supported and won the public’s recognition as a number of surveys indicated that a vast majority of society backed the amendment bill.Among others, more than 128,000 signatures from citizens, companies and organisations were collected in a signatory campaign launched by the Hong Kong Council on Smoking & Health in July 2018 in support of enacting a total ban on e-cigarettes and other new tobacco products.The Government thanked the bills committee chairman's efforts in bringing forward the committee’s deliberation.""The Government’s work on tobacco control will not end here. We shall put forward the legislative proposal of a full ban of ASPs in the next term of LegCo when the opportunity arises,"" it added.",https://www.news.gov.hk/eng/2020/06/20200603/20200603_125305_966.html?type=category&name=health&tl=t
9,"June 3, 2020",No new COVID-19 cases recorded,Health & Community,"The Centre for Health Protection announced that as of 4pm today, no new COVID-19 cases have been recorded, leaving the number of confirmed cases in Hong Kong at 1,093.Regarding the cluster in Lek Yuen Estate, Sha Tin, the centre said it has been conducting epidemiological investigations and carrying out preventive control measures.As of 4pm, 1,056 deep throat saliva sampleshad been collected from Luk Chuen House, Lek Yuen Estate, among which, 1,031 samples have had testing for COVID-19 completed.Except for the four confirmed cases announced on June 2, other samples have tested negative.As of 5pm, residents residing in 66 units had not returned their samples.The centre urged these residents to return their deep throat saliva samples, adding that it will arrange compulsory testing for those who fail to do so.Meanwhile, as of 4pm, the centre had collected and tested 1,726 samples from Luen Yuet House, Kwai Luen Estate, with no positive results.Additionally, the Hospital Authority reported that 51 patients confirmed with COVID-19 are currently hospitalised and 1,039 confirmed and suspected patients have been discharged.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/06/20200603/20200603_191101_877.html?type=category&name=health&tl=t
