,Date,Title,category,Content,URL
0,"March 1, 2020",New infection linked to temple,Health & Community,"(To watch the full press briefing with sign language interpretation, click here.)The Centre for Health Protection reported that a woman who visitedthe Fook Wai Ching She temple in North Point tested positive for COVID-19 today.The centre’s Communicable Disease Branch Head Dr Chuang Shuk-kwan told a press briefing the latest confirmed case is a 71-year-old woman who lives in Lam Tin and had visited the Buddhist temple last month.She volunteered at the temple for a few days and was involved in preparing food. She recalled speaking to and having a meal with case number 92 at the temple on February 8.Dr Chuang said the woman had called the centre’s hotline on February 29 and it referred her to United Christian Hospital for treatment.She was confirmed infected with COVID-19 today.“The latest case is referred by us because she phoned up our hotline, so we know that she is symptomatic.“So we would like to still call upon the public if they had visited the temple on or after January 25, please call our hotline. We will arrange for them to be placed under quarantine, medical surveillance or if they are symptomatic, we will arrange for them to be sent to the hospital.”Dr Chuang added the centre has traced 265 people who visited the temple on or after January 25, and referred 34 of them who are symptomatic to hospitals.“Some of them turned out to be a (confirmed) case and the others tested negative or testing is being conducted. We placed 38 of them under quarantine because they are still within the incubation period of 14 days.“For the other 193 we placed them under medical surveillance. They have passed the first incubation period, so their last contact with the temple was more than two weeks ago, but to be safe, we would still like to follow up with them for a total of 28 days, just in case.”As at noon today and over the past 24 hours, public hospitals admitted 49 patients who met the reporting criteria of COVID-19.They include 17 males and 32 females, aged 20 months to 90 years.There are currently 122 patients under isolation. So far, 36 patients with the COVID-19 infection have been discharged upon recovery.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/03/20200301/20200301_175200_555.html?type=category&name=health&tl=t
1,"March 2, 2020",Resuming public services backed,Health & Community,"Secretary for Food & Health Prof Sophia Chan said the Government's decision to progressively resume public services has balanced people's expectation and taken into account the current COVID-19 situation.Speaking to reporters this morning, Prof Chan explained that the Civil Service Bureau has worked with all department heads to ensure civil servants returning to work are protected and the spread of the virus is avoided.“Obviously, there will be some risk but the Government - the Civil Service Bureau - has already been working together with all the department heads in looking into the flexibility in such as working hours and lunch hours, and also other measures that can be taken to protect colleagues when they are providing services to the public and going to work.“For example, now in government buildings, the temperature of people would have to be taken before they enter the building.“There are also other hygiene measures at government offices. So, everybody should be very vigilant. For example, when they go to lunch, the advice is not to have lunch together, use more delivery services, and not gather together.“The issue of social distancing is still very important for people to observe. Using appropriate protective equipment, such as masks and also other personal protective clothing, when providing services are also important.”Prof Chan added that the move to have government staff resume work was scrutinised by experts.“The Chief Executive has an expert advisory group and this issue has been discussed with our experts during the previous meetings.The experts' advice is to provide more flexibility.“The protection as well as on how to maintain social distancing in a flexible manner when people start to work or to provide public services have also been discussed.”",https://www.news.gov.hk/eng/2020/03/20200302/20200302_142856_640.html?type=category&name=health&tl=t
2,"March 2, 2020",Outbreak limited to temple: CHP,Health & Community,"(To watch the whole press briefing with sign language interpretation, click here.)The Centre for Health Protection today said the coronavirus outbreak is currently limited to the Buddhist temple in North Point.The centre’s Communicable Disease Branch Head Dr Chuang Shuk-kwan made the comment at a press briefing this afternoon.She said: “The cases so far we found are all linked to the temple - 11 cases as well as five cases related to the close contacts of the cases.“The outbreak is limited to the temple at the present moment.”Noting that the centre is not seeing a lot of other cases in that area, Dr Chuang added there is no evidence yet to suggest a localised outbreak there.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/03/20200302/20200302_184010_434.html?type=category&name=health&tl=t
3,"March 2, 2020",Bun carnival cancelled,Health & Community,"In view of the latest COVID-19 developments, the 2020 Bun Carnival has been cancelled, the Leisure & Cultural Services Department announced today.The carnival, jointly organised by the Cheung Chau Bun Festival Committee and the department, was originally scheduled to be held at the Pak Tai Temple Playground's soccer pitchon Cheung Chau.The department explained that in order to reduce therisk of spreading the virus through social contact, the organising committee decided to cancel related activities to avoid public gatherings.Cancelled activities include bun tower climbing training, bun scrambling competition selection contest, the climbing carnival and bun scrambling competition.In addition, assessmentsfrom student colouring and drawing competitionshave been completed.The department said it will notify winners individually and awards will be sent to the respective schools.",https://www.news.gov.hk/eng/2020/03/20200302/20200302_223215_386.html?type=category&name=health&tl=t
4,"March 2, 2020",Additional COVID-19 case confirmed,Health & Community,"The Centre for Health Protection is investigating an additional case of COVID-19, taking the number of confirmed cases in Hong Kong to 100.The patient is a 63-year-old man who is the elder brother of the 85th case confirmed on February 25.The patient, with underlying illness, lives at 8 Tai Hang Road. He is asymptomatic and was sent to a quarantine centre earlier as a close contact.He will be sent to Pamela Youde Nethersole Eastern Hospital for treatment and is now in stable condition.The patient had no travel history during the incubation period. He attended his daughter's wedding banquet on February 22 where the female patient of the 85th case was also present.His wife is asymptomatic and is under quarantine.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/03/20200302/20200302_231522_752.html?type=category&name=health&tl=t
5,"March 3, 2020",Gov't flights set for Wuhan,Health & Community,"(To watch the full meet-the-media session with sign language interpretation, click here.)  Four government chartered flights will depart for Wuhanin batches in the next twodays to bring home more than 500 Hong Kong residents stranded in Hubei Province.  Ahead of the Executive Council meeting today, Chief Executive Carrie Lam said upon arrival at Hong Kong International Airport, these citizens will be taken directly to quarantine centres to undergo a 14-day quarantine.  Mrs Lam reiterated that the Government had arranged for the chartered flights as soon as was feasible, given the tremendous logistics and public health challenges involved in the operation.  “We do not feel that we have delayed the return of Hong Kong people stranded in Hubei. As you are aware, even up to this point, Hubei Province - particularly the city of Wuhan - is still under a very challenging situation in terms of the infections and the outbreak, in terms of the cases confirmed.  ""As far as I understand, even up to this moment, there are still very clear restrictions on exit arrangements and as well as transport arrangements leaving Hubei Province.  “As soon as the conditions were ready for us to help Hong Kong residents to come back to Hong Kong, we immediately made the arrangements to do so with the support of the Hubei provincial government.  “I hope we will all realise that the whole of Hubei Province is still struggling and doing all their best in containing this coronavirus. But at the same time, they have set aside manpower and other resources to help us to undertake this very major operation to bring our Hong Kong people back.”",https://www.news.gov.hk/eng/2020/03/20200303/20200303_110036_647.html?type=category&name=health&tl=t
6,"March 3, 2020",Gov’t decisions scientifically based,Health & Community,"(To watch the whole press briefing with sign language interpretation, click here.)  Every decision made by the Government in the fight against the coronavirus epidemic has been based on science and justification, Chief Executive Carrie Lam said today.  Mrs Lam made the statement before the Executive Council meeting this morning.  “In the last one and a half months or so, in fighting this virus, every decision made by the Hong Kong Special Administrative Region Government was based on science and justification.""  She added that the decisions were also made with the advice of the four experts on her expert advisory panel.  “The ultimate objective is to contain the spread of this virus in Hong Kong so that we could protect not only the health of the people of Hong Kong but also the economic and social situation in Hong Kong.”",https://www.news.gov.hk/eng/2020/03/20200303/20200303_110438_328.html?type=category&name=health&tl=t
7,"March 3, 2020",533 HK people to return from Hubei,Health & Community,"(To watch the whole press briefing with sign language interpretation, click here.)  A total of 533 Hong Kong residents will come back to Hong Kong in batches by four chartered flights arranged by the Government in the coming two days.  Secretary for Constitutional & Mainland Affairs Patrick Nip said 440 of them are in Wuhan, while 93 are in 10 other cities in the province.  He noted the 93 people are those who urgently need to come back. They include pregnant women, candidates of the upcoming Hong Kong Diploma of Secondary Education Examination, and patients who need medical treatment in Hong Kong.  Mr Nip said the Government started planning to bring residents back to Hong Kong upon receiving their requests for assistance.  “We have to realise that there are more than 3,800 Hong Kong people seeking assistance and who are staying in Hubei, and in more than 30 cities.  “On the first day of receiving these requests, we started all the planning and the contingencies for transferring these people back to Hong Kong. But we have to consider the right moment to do so.  “We have to take into account the epidemic situation in the Mainland, the situation in Hong Kong and we also have to carefully consider the public health risk in transferring a large group of people from one place to another.”  He added that the Government has to ensure there are sufficient quarantine facilitiesto meetthe 14-day compulsory quarantine requirement.  Last but not least, the Government needs to carefully assess the impact on the city’s hospitals, Mr Nip said.  “We have to expect that or we could not rule out the possibility that some of these people returning to Hong Kong might become confirmed cases.”",https://www.news.gov.hk/eng/2020/03/20200303/20200303_110756_250.html?type=category&name=health&tl=t
8,"March 3, 2020",HA readies for quarantine testing,Health & Community,"(To watch the whole press briefing with sign language interpretation, click here.)  The Hospital Authority will send a team to the quarantine centre at Chun Yeung Estateto assist the Government with taking coronavirus test samples from Hong Kong residents returning from Hubei Province via chartered flights.  The authority’s Chief Manager (Clinical Effectiveness & Technology Management) Dr Linda Yu told reporters about the arrangement at a press conference this afternoon.  Noting that the number of Hong Kong residents involved in this exercise is larger than those returning home from the Diamond Princess cruise ship, Dr Yu said a different approach has been adopted.  “For the Diamond Princess (cruise) exercise, the Hospital Authority only sent an emergency medical team to help to provide emergency support, but we were not involved in taking samples from those returnees.  “But because as I mentioned, the number of people returning from Hubei Province is large, so we are contributing to the operation so that we can provide or offer testing of the returnees.  “Our team will help to provide blood collection and also sample-taking for those returnees.”  Dr Yu added that members of the team will wear a full set of personal protective equipment to carry out their duties.",https://www.news.gov.hk/eng/2020/03/20200303/20200303_172857_811.html?type=category&name=health&tl=t
9,"March 3, 2020",Virus testing to expand,Health & Community,"The Hospital Authority today announced that testing conducted under the Enhanced Laboratory Surveillance Programme will be expanded to cover 10 other viruses.Starting from March 4, the test will be further expanded to include viruses such as Influenza, Parainfluenza and Rhinovirus.The authority explained that the programme is for surveillance purposes rather than diagnostic service.The authority widened the surveillance programme to include people aged 18 or older with fever and respiratory symptoms or mild chest infection, and from inpatient to outpatient of accident andemergency departments and general out-patient clinics since February 19.The goal was to detect COVID-19 mild cases in the community and to better understand the epidemiology of the virus.Since February 28, the programme was further extended to cover patients below 18 years old and those with fever or respiratory symptoms, subject to clinical assessment of a physician in charge.As of noon today and over the past 24 hours, public hospitals admitted 47 patients who met the reporting criteria of COVID-19.There are currently 123 patients under isolation and the number of confirmed cases in Hong Kong remains at 100.Among them, two patients are in critical condition, three are in serious condition and 37 have been discharged upon recovering.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/03/20200303/20200303_171358_835.html?type=category&name=health&tl=t
