,Date,Title,category,Content,URL
0,"May 1, 2020",2 new COVID-19 cases reported,Health & Community,"(To watch the full press briefing with sign language interpretation, clickhere.)The Centre for Health Protection today said it is investigating two additional confirmed COVID-19 cases that involve a 34-year-old male and 16-year-old female.Both are Hong Kong residents who returned from Pakistan on a chartered flight yesterday.Centre for Health Protection Communicable Disease Branch Head Dr Chuang Shuk-kwan called on people to stay vigilant even though the number of confirmed cases has dropped recently.“Whether these strict social distancing measures can be relaxed, as I mentioned before, the World Health Organization uses a number of factors for consideration. The number of cases is one of the factors and there are other factors that guide our decision.”She noted that experts for the Government will also discuss social distancing measures and if they make any newdecisions, an announcement will be made.“For the boundary control measures, I think the relevant bureaus and departments will release details when they are ready. Of course, advice from the CHP has been sought.”“For government offices, because the disease (number of new COVID-19 cases) has come down a bit, many services by the Government have to be provided. So I am sure they will take infection control measures, such as spacing out lunchtimes and also infection control measures in the offices.”Meanwhile, the Hospital Authority reported that there are currently 194 patients under isolation and that 859 patients have been discharged upon recovery.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/05/20200501/20200501_173017_219.html?type=category&name=health&tl=t
1,"May 2, 2020",More services resume May 4,Health & Community,"To align with the phased resumption of public services, the Information Services Department,Government Records Service and CivilAviation Departmenthave announced their latest arrangements.The Information Services Department will resume sales counter services at its Publications Sales Unit and Photo Library at North Point Government Offices from May 4.The sales office will be open from 9am to 12.30pm and from 2pm to 6pm from Monday to Friday.To reduce social contact and avoid people gathering, citizens are encouraged to purchase government publications and photos through the onlinebookstore and photo store.The Government Records Service's Public Records Office will provide search room services, including onsite loan and circulation services, from Monday to Friday, 9am to 5.45pm, for people who have made reservations through the online catalogue.The office will also resume search room services from 9am to 1pm on Saturdays for people to inspect holdings which have been reserved online.Requests by up to 15 users will be accepted for search room services for each open day on a first-come, first-served basis. Users will be notified of the reservation results by email.Visitor and public education programmes will continue to be suspended,while the Exhibition Hall at the Public Records Building will be temporarily closed for preparation of the new thematic exhibition until further notice.Enquiries can be madeto2195 7700 or viaemail.The Civil Aviation Department’s Personnel Licensing Office will continue to provide counter services from next Monday and resume relevant licensing examinations.The office'sopening hours are8.45am to 12.45pm and 1.45pm to 5pm, Monday to Friday. Enquiries can be made to 2910 6046 or via email.Clickhere for the latest public service arrangements.",https://www.news.gov.hk/eng/2020/05/20200502/20200502_124855_800.html?type=category&name=health&tl=t
2,"May 2, 2020",Music Office recruits talent,Health & Community,"The Leisure & Cultural Services Department’s Music Office isrecruiting for its 18 bands and orchestras and two choirs.Musicians aged 25 or below who have attained the required music qualifications can apply. Successful applicants will receive Chinese orchestra, orchestra or choir training.Apart from weekly rehearsals, members may also participate in cultural activities and concerts, or collaborate with visiting young musicians from the Mainland and overseas.Free training will run from September to May.Separately, the office is recruiting intermediate and advanced year-one trainees for its 2020-21 Instrumental Music Training Scheme.The scheme provides training in string, wind and Chinese musical instruments, as well as courses on musicianship and music theory.The weekly one-hour group lessons will be conducted in Cantonese.Annual tuition fees of $3,377 for intermediate level and $4,312 for advanced level are to be paid in four instalments.The application deadline for both recruitment exercises is June 1.",https://www.news.gov.hk/eng/2020/05/20200502/20200502_130628_819.html?type=category&name=health&tl=t
3,"May 2, 2020",No new COVID-19 cases in HK,Health & Community,"The Centre for Health Protection announced that as of 4pm today, no new confirmed COVID-19 cases have been recorded, leaving the number of confirmed cases in Hong Kong at 1,039 so far.The centre again urged the public to maintain an appropriate social distance from other people as much as possible in their daily lives to minimise the risk of infection.People should go out less and avoid social activities such as having meals out or other gatherings to minimise the risk of coronavirus clusters emerging in the community.As the COVID-19 situation remains severe and the number of cases reported around the world continues to rise, people are strongly urged to avoid all non-essential travel outside Hong Kong as well as maintain strict personal and environmental hygiene at all times.Additionally, the Hospital Authority reported that there are currently 192 patients under isolation and that 864 patients have been discharged upon recovery.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/05/20200502/20200502_160729_880.html?type=category&name=health&tl=t
4,"May 3, 2020",No new COVID-19 cases reported,Health & Community,"The Centre for Health Protection announced that as of 4pm today, no new confirmed COVID-19 cases have been recorded, leaving the number of confirmed cases in Hong Kong at 1,039 so far.The centre again urged the public to maintain an appropriate social distance from other people as much as possible in their daily lives to minimise the risk of infection.People should go out less and avoid social activities such as having meals out or other gatherings to minimise the risk of coronavirus clusters emerging in the community.As the COVID-19 situation remains severe and the number of cases reported around the world continues to rise, people are strongly urged to avoid all non-essential travel outside Hong Kong as well as maintain strict personal and environmental hygiene at all times.Additionally, the Hospital Authority reported that there are currently 175 patients under isolation and that 879 patients have been discharged upon recovery.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/05/20200503/20200503_160614_379.html?type=category&name=health&tl=t
5,"May 4, 2020",Keep good hygiene habits: CHP,Health & Community,"The Centre for Health Protection today appealed to the public to keep good hand hygiene habits in support of Hand Hygiene Day on May 5.The centre said that performing hand hygiene frequently - especially before touching the mouth, nose or eyes - is key to preventing COVID-19 and other communicable diseases.It is alsoa proven measure in preventing healthcare associated infections and the spread of antimicrobial disease.Patients and healthcare workers can be good working partners in improving hand hygiene practices, the centre said, adding members of the public and healthcare workers can remind each other to clean their hands.Additionally, a video has been launched to encourage people to observe good personal hand hygiene, be they at home, at school, in a clinic or a hospital ward.Click here for details.",https://www.news.gov.hk/eng/2020/05/20200504/20200504_113350_926.html?type=category&name=health&tl=t
6,"May 4, 2020",Exemption for manufacturers set,Health & Community,"The Government today announced the mechanism for Hong Kong enterprises with manufacturing operations in the Mainland to apply for exemption from the compulsory quarantine arrangement.It said the Trade & Industry Department has started processing applications.The Chief Secretary may designate anybody or category of people for exemption from quarantine if their travelling is necessary for purposes relating to manufacturing operations in the interest of Hong Kong's economic development.With effect from May 4, the Chief Secretary has exempted two categories of people from the quarantine arrangement.They include owners of Hong Kong enterprises with a valid business registration certificate and with manufacturing operations in the Mainland and up to one person employed and authorised by the enterprise, as well as up to two people employed and authorised by such an enterprise.Exempted people must only travel to and stay in the city where the Mainland factory of their Hong Kong enterprise's manufacturing operations is located and must take every precautionary measure to ensure personal hygiene and avoid unnecessary social contact.After returning to Hong Kong, they will be subject to medical surveillance arranged by the Department of Health during their stay in Hong Kong and will be required to wear masks and have their body temperatures checked daily.They will also have to report any discomfort to the Department of Health.Click here for more information.",https://www.news.gov.hk/eng/2020/05/20200504/20200504_144814_766.html?type=category&name=health&tl=t
7,"May 4, 2020",Anti-virus spray subsidy opens,Health & Community,"The Social Welfare Department today launched a subsidy scheme to support all the some 1,000 residential care homes for the elderly and people with disabilities to give their premises an anti-virus coating spray.The Anti-virus Coating Spray Subsidy was approved by the Anti-epidemic Fund Steering Committee on April 20, with the total subsidy amounting to $80 million.Subvented, contract, self-financing and private residential care homes for the elderly and the disabled with valid licences as of April 30 are eligible to apply.The ceiling of the subsidy amount is calculated on the basis of the floor area of the home.The Social Welfare Department has issued letters to invite eligible care homes to apply for the subsidy.After undergoing a streamlined confirmation procedure, the care homes may procure the anti-virus coating spray service on their own for one-off or multiple applications of coating to provide disinfection protection for an aggregate of no less than 180 days.The coating spray process must start on or before August 31.",https://www.news.gov.hk/eng/2020/05/20200504/20200504_151737_153.html?type=category&name=health&tl=t
8,"May 4, 2020",1 COVID-19 case confirmed,Health & Community,"The Centre for Health Protection says it is investigating an additional confirmed COVID-19 case.The newly reported case involves a 27-year-old female who returned to Hong Kong from the United States.Epidemiological investigations and relevant contact tracing on the confirmed case are ongoing.The centre urged members of the public to maintain an appropriate social distance from other people and go out less to reduce the chance of coming into contact with infected people.Additionally, the Hospital Authority reported that there are currently 151 patients under isolation and that 900 patients have been discharged upon recovery.For information and health advice on COVID-19, visit the Government's dedicated webpage.",https://www.news.gov.hk/eng/2020/05/20200504/20200504_165011_194.html?type=category&name=health&tl=t
9,"May 4, 2020",Local transmission status explained,Health & Community,"(To watch the full press briefing with sign language interpretation, click here.)The Centre for Health Protection today said that it could not conclude that local COVID-19 transmissions have stopped.Its Communicable Disease Branch Head Dr Chuang Shuk-kwan told a media briefing this afternoon that the virus has an incubation period of up to 14 days and that the centre will consider that local transmissions have stopped after two incubation periods.She said: ""Although we have already observed one incubation period and the situation is getting better now, we cannot conclude that the local transmission chain has been cut.“Relaxation of the physical distancing and other measures may not necessarily tie in with the 28 days exactly. There are other factors to consider.”Dr Chuang added that as this is a new virus,it is difficult to predict what will happen in the near future.For information and health advice on COVID-19, visit the Government'sdedicated webpage.",https://www.news.gov.hk/eng/2020/05/20200504/20200504_171023_951.html?type=category&name=health&tl=t
