類別：所有類別

天,口罩: (全球),新冠病毒: (全球),mask: (全球),政府: (全球),covid-19: (全球)
2020-01-01,<1,0,8,<1,0
2020-01-02,<1,0,8,1,0
2020-01-03,<1,0,8,1,0
2020-01-04,<1,0,9,<1,0
2020-01-05,<1,0,10,1,0
2020-01-06,1,0,9,1,0
2020-01-07,1,0,8,1,0
2020-01-08,1,0,8,1,0
2020-01-09,<1,0,8,1,0
2020-01-10,<1,0,8,1,0
2020-01-11,<1,0,9,<1,0
2020-01-12,<1,0,12,<1,0
2020-01-13,<1,0,11,1,0
2020-01-14,<1,0,9,1,0
2020-01-15,<1,0,9,1,0
2020-01-16,<1,0,8,1,0
2020-01-17,<1,0,8,1,0
2020-01-18,<1,0,9,<1,0
2020-01-19,<1,0,9,<1,0
2020-01-20,1,0,8,1,0
2020-01-21,2,0,9,1,0
2020-01-22,3,0,10,1,0
2020-01-23,5,0,12,1,0
2020-01-24,4,0,13,<1,0
2020-01-25,5,0,16,1,0
2020-01-26,6,0,19,1,0
2020-01-27,8,0,20,1,0
2020-01-28,12,0,23,1,0
2020-01-29,14,0,23,1,0
2020-01-30,16,0,27,1,0
2020-01-31,13,0,27,1,0
2020-02-01,11,0,22,1,0
2020-02-02,10,0,19,1,0
2020-02-03,12,0,17,1,0
2020-02-04,11,0,17,1,0
2020-02-05,10,0,16,1,0
2020-02-06,11,0,15,1,0
2020-02-07,11,0,16,1,0
2020-02-08,9,0,16,1,0
2020-02-09,7,0,15,1,0
2020-02-10,7,0,14,1,0
2020-02-11,6,0,14,1,<1
2020-02-12,6,0,14,1,1
2020-02-13,6,0,14,1,1
2020-02-14,6,0,13,1,1
2020-02-15,5,0,14,1,1
2020-02-16,5,0,13,1,1
2020-02-17,5,0,12,1,1
2020-02-18,4,0,12,1,1
2020-02-19,4,0,12,1,1
2020-02-20,5,0,12,1,1
2020-02-21,5,0,11,1,1
2020-02-22,4,0,13,1,1
2020-02-23,4,0,14,1,1
2020-02-24,4,0,15,1,2
2020-02-25,5,0,20,2,3
2020-02-26,4,0,29,2,3
2020-02-27,4,0,29,2,4
2020-02-28,4,0,27,1,4
2020-02-29,4,0,23,1,3
2020-03-01,4,0,20,1,3
2020-03-02,4,0,21,1,5
2020-03-03,4,0,22,1,5
2020-03-04,3,0,24,1,5
2020-03-05,4,0,25,1,6
2020-03-06,4,0,21,1,7
2020-03-07,4,0,20,1,6
2020-03-08,4,0,19,1,7
2020-03-09,4,0,18,1,11
2020-03-10,4,0,20,1,12
2020-03-11,5,0,22,1,17
2020-03-12,7,0,26,1,27
2020-03-13,5,0,27,1,30
2020-03-14,5,0,28,1,26
2020-03-15,5,0,28,1,30
2020-03-16,4,0,28,1,41
2020-03-17,4,0,28,1,41
2020-03-18,5,0,29,1,42
2020-03-19,6,0,31,2,42
2020-03-20,5,0,34,1,43
2020-03-21,5,0,41,1,41
2020-03-22,5,0,39,1,43
2020-03-23,4,0,37,1,49
2020-03-24,4,0,35,1,45
2020-03-25,6,0,33,1,47
2020-03-26,6,0,32,1,53
2020-03-27,4,0,32,1,58
2020-03-28,5,0,35,1,48
2020-03-29,4,0,35,1,46
2020-03-30,5,0,34,1,49
2020-03-31,4,0,40,1,46
2020-04-01,6,0,44,1,46
2020-04-02,5,0,54,1,49
2020-04-03,5,0,77,1,48
2020-04-04,6,0,100,1,43
2020-04-05,5,0,76,1,42
2020-04-06,5,0,63,1,45
2020-04-07,4,0,56,1,41
2020-04-08,6,0,54,1,40
2020-04-09,8,0,50,1,40
2020-04-10,6,0,48,1,38
2020-04-11,6,0,47,1,35
2020-04-12,5,0,39,1,32
2020-04-13,6,0,38,1,36
2020-04-14,6,0,39,1,34
2020-04-15,6,0,41,1,34
2020-04-16,5,0,46,1,34
2020-04-17,4,0,46,1,33
2020-04-18,4,0,47,1,30
2020-04-19,3,0,41,1,29
2020-04-20,3,0,37,2,31
2020-04-21,3,0,38,1,30
2020-04-22,4,0,39,1,30
2020-04-23,3,0,40,1,29
2020-04-24,3,0,39,1,28
2020-04-25,3,0,39,1,26
2020-04-26,2,0,37,1,25
2020-04-27,2,0,34,1,28
2020-04-28,2,0,37,1,27
2020-04-29,2,0,38,1,27
2020-04-30,2,0,37,1,27
2020-05-01,2,0,40,1,26
2020-05-02,1,0,37,1,25
2020-05-03,1,0,36,1,24
2020-05-04,2,0,34,1,27
2020-05-05,2,0,35,1,26
2020-05-06,3,0,35,2,26
2020-05-07,2,0,35,1,26
2020-05-08,2,0,34,1,26
2020-05-09,2,0,36,1,28
2020-05-10,1,0,31,1,25
2020-05-11,2,0,35,1,28
2020-05-12,1,0,36,1,26
2020-05-13,1,0,36,1,26
2020-05-14,1,0,36,1,26
2020-05-15,1,0,35,1,25
2020-05-16,1,0,35,1,23
2020-05-17,1,0,33,1,23
2020-05-18,2,0,31,1,25
2020-05-19,2,0,31,1,24
2020-05-20,1,0,32,1,24
2020-05-21,1,0,34,1,24
2020-05-22,1,0,34,1,22
2020-05-23,1,0,32,1,21
2020-05-24,1,0,30,1,21
2020-05-25,2,0,27,1,22
2020-05-26,2,0,30,1,22
