類別：所有類別

天,口罩: (香港),政府: (香港)
2020-01-01,<1,1
2020-01-02,2,2
2020-01-03,1,2
2020-01-04,3,1
2020-01-05,4,2
2020-01-06,8,2
2020-01-07,10,1
2020-01-08,8,2
2020-01-09,5,2
2020-01-10,3,2
2020-01-11,3,1
2020-01-12,1,1
2020-01-13,2,2
2020-01-14,1,3
2020-01-15,2,2
2020-01-16,1,3
2020-01-17,1,2
2020-01-18,1,1
2020-01-19,1,1
2020-01-20,3,2
2020-01-21,7,2
2020-01-22,19,2
2020-01-23,49,2
2020-01-24,51,2
2020-01-25,45,2
2020-01-26,54,2
2020-01-27,62,2
2020-01-28,77,6
2020-01-29,100,4
2020-01-30,94,4
2020-01-31,82,5
2020-02-01,76,3
2020-02-02,66,3
2020-02-03,74,4
2020-02-04,79,3
2020-02-05,74,3
2020-02-06,65,3
2020-02-07,67,4
2020-02-08,66,3
2020-02-09,50,3
2020-02-10,43,3
2020-02-11,43,3
2020-02-12,43,3
2020-02-13,38,3
2020-02-14,48,3
2020-02-15,35,3
2020-02-16,34,3
2020-02-17,31,3
2020-02-18,27,3
2020-02-19,26,3
2020-02-20,24,4
2020-02-21,21,3
2020-02-22,21,2
2020-02-23,21,2
2020-02-24,20,4
2020-02-25,25,4
2020-02-26,18,6
2020-02-27,16,4
2020-02-28,17,3
2020-02-29,16,2
2020-03-01,16,3
2020-03-02,16,3
2020-03-03,17,2
2020-03-04,16,3
2020-03-05,16,3
2020-03-06,15,3
2020-03-07,16,2
2020-03-08,15,2
2020-03-09,15,2
2020-03-10,23,3
2020-03-11,32,2
2020-03-12,27,3
2020-03-13,22,3
2020-03-14,21,2
2020-03-15,21,2
2020-03-16,18,3
2020-03-17,22,3
2020-03-18,19,3
2020-03-19,18,3
2020-03-20,20,3
2020-03-21,22,3
2020-03-22,22,3
2020-03-23,19,4
2020-03-24,18,3
2020-03-25,18,3
2020-03-26,19,2
2020-03-27,18,4
2020-03-28,17,3
2020-03-29,16,3
2020-03-30,17,3
2020-03-31,16,3
2020-04-01,17,4
2020-04-02,17,3
2020-04-03,16,3
2020-04-04,17,2
2020-04-05,16,3
2020-04-06,21,3
2020-04-07,16,3
2020-04-08,16,5
2020-04-09,14,5
2020-04-10,15,3
2020-04-11,12,2
2020-04-12,13,2
2020-04-13,19,2
2020-04-14,14,3
2020-04-15,14,3
2020-04-16,13,3
2020-04-17,16,3
2020-04-18,13,3
2020-04-19,10,2
2020-04-20,10,4
2020-04-21,13,4
2020-04-22,13,3
2020-04-23,11,3
2020-04-24,11,3
2020-04-25,11,2
2020-04-26,10,2
2020-04-27,8,3
2020-04-28,8,3
2020-04-29,9,3
2020-04-30,9,2
2020-05-01,8,2
2020-05-02,7,2
2020-05-03,7,2
2020-05-04,7,4
2020-05-05,16,7
2020-05-06,28,10
2020-05-07,14,5
2020-05-08,13,4
2020-05-09,12,3
2020-05-10,10,3
2020-05-11,10,4
2020-05-12,9,4
2020-05-13,10,4
2020-05-14,10,4
2020-05-15,9,4
2020-05-16,9,3
2020-05-17,9,3
2020-05-18,9,4
2020-05-19,9,4
2020-05-20,9,3
2020-05-21,9,3
2020-05-22,11,3
2020-05-23,8,3
2020-05-24,7,3
2020-05-25,8,4
2020-05-26,8,4
2020-05-27,8,4
2020-05-28,8,3
2020-05-29,12,3
2020-05-30,7,3
2020-05-31,8,3
2020-06-01,9,3
2020-06-02,8,4
2020-06-03,9,3
2020-06-04,9,3
2020-06-05,10,4
2020-06-06,9,3
2020-06-07,8,3
2020-06-08,8,5
2020-06-09,9,5
2020-06-10,8,4
2020-06-11,9,4
2020-06-12,8,3
2020-06-13,7,2
2020-06-14,7,3
2020-06-15,8,4
2020-06-16,7,4
2020-06-17,7,4
2020-06-18,7,4
2020-06-19,7,4
2020-06-20,8,5
2020-06-21,5,10
2020-06-22,7,5
2020-06-23,7,4
2020-06-24,6,4
2020-06-25,7,3
2020-06-26,8,3
2020-06-27,8,2
2020-06-28,6,3
2020-06-29,6,4
2020-06-30,6,4
