Category: All categories

Day,口罩: (Hong Kong),洗手液: (Hong Kong),mask: (Hong Kong),facemask: (Hong Kong)
2020-01-01,<1,0,1,0
2020-01-02,2,0,2,0
2020-01-03,1,0,1,0
2020-01-04,2,<1,1,0
2020-01-05,4,<1,2,0
2020-01-06,8,<1,2,0
2020-01-07,9,<1,3,0
2020-01-08,8,<1,2,0
2020-01-09,5,<1,2,0
2020-01-10,3,<1,2,0
2020-01-11,2,<1,1,<1
2020-01-12,2,<1,1,0
2020-01-13,2,<1,2,<1
2020-01-14,2,<1,1,0
2020-01-15,1,<1,1,0
2020-01-16,1,<1,1,0
2020-01-17,1,<1,1,0
2020-01-18,1,0,1,<1
2020-01-19,1,<1,1,<1
2020-01-20,3,<1,1,0
2020-01-21,7,<1,2,0
2020-01-22,18,<1,5,<1
2020-01-23,46,<1,14,<1
2020-01-24,50,<1,16,<1
2020-01-25,45,<1,14,<1
2020-01-26,50,<1,17,<1
2020-01-27,60,1,20,<1
2020-01-28,78,1,26,<1
2020-01-29,100,1,31,<1
2020-01-30,89,1,31,<1
2020-01-31,78,1,26,<1
2020-02-01,72,1,22,<1
2020-02-02,66,1,18,<1
2020-02-03,71,1,20,<1
2020-02-04,76,1,21,<1
2020-02-05,71,1,19,<1
2020-02-06,62,1,19,<1
2020-02-07,66,1,18,<1
2020-02-08,64,1,18,<1
2020-02-09,46,1,15,<1
2020-02-10,43,<1,16,<1
2020-02-11,43,1,16,<1
2020-02-12,40,<1,14,<1
2020-02-13,37,1,12,<1
2020-02-14,46,1,13,0
2020-02-15,34,<1,11,<1
2020-02-16,31,<1,9,<1
2020-02-17,30,<1,10,<1
2020-02-18,25,<1,8,<1
2020-02-19,24,<1,9,<1
2020-02-20,24,<1,8,<1
2020-02-21,21,<1,7,0
2020-02-22,20,<1,8,0
2020-02-23,19,<1,7,0
2020-02-24,20,<1,8,<1
2020-02-25,23,<1,12,<1
2020-02-26,17,<1,7,<1
2020-02-27,16,<1,7,0
2020-02-28,15,<1,7,<1
2020-02-29,15,<1,7,<1
2020-03-01,14,<1,6,<1
2020-03-02,15,<1,6,<1
2020-03-03,17,<1,5,<1
2020-03-04,14,<1,5,<1
2020-03-05,16,<1,5,0
2020-03-06,14,<1,5,<1
2020-03-07,15,<1,5,<1
2020-03-08,15,<1,5,<1
2020-03-09,15,<1,5,<1
2020-03-10,22,<1,9,0
2020-03-11,31,<1,20,<1
2020-03-12,27,<1,15,<1
2020-03-13,21,<1,9,<1
2020-03-14,23,<1,9,<1
2020-03-15,20,<1,7,<1
2020-03-16,20,<1,10,<1
2020-03-17,20,<1,13,<1
2020-03-18,18,<1,8,<1
2020-03-19,18,<1,8,<1
2020-03-20,19,<1,8,<1
2020-03-21,23,<1,8,<1
2020-03-22,20,<1,7,<1
2020-03-23,20,<1,7,<1
2020-03-24,17,<1,8,<1
