Category: All categories

Day,口罩: (Hong Kong),封關: (Hong Kong),紙巾: (Hong Kong),世界未日: (Hong Kong)
2020-01-01,<1,0,<1,0
2020-01-02,2,0,<1,0
2020-01-03,1,0,<1,0
2020-01-04,2,0,<1,0
2020-01-05,4,0,<1,0
2020-01-06,8,0,<1,0
2020-01-07,10,0,<1,<1
2020-01-08,8,0,<1,0
2020-01-09,5,0,<1,0
2020-01-10,3,0,<1,0
2020-01-11,2,0,<1,0
2020-01-12,2,0,<1,0
2020-01-13,2,0,<1,0
2020-01-14,2,0,<1,<1
2020-01-15,1,0,<1,0
2020-01-16,1,0,<1,0
2020-01-17,1,0,<1,0
2020-01-18,1,0,<1,0
2020-01-19,1,0,<1,<1
2020-01-20,3,0,<1,0
2020-01-21,7,0,<1,0
2020-01-22,18,0,<1,0
2020-01-23,44,0,<1,<1
2020-01-24,49,0,<1,0
2020-01-25,46,0,1,0
2020-01-26,50,0,1,0
2020-01-27,58,0,1,0
2020-01-28,78,0,2,0
2020-01-29,100,0,1,<1
2020-01-30,90,0,1,0
2020-01-31,78,0,1,<1
2020-02-01,70,0,1,0
2020-02-02,65,0,1,0
2020-02-03,71,0,1,0
2020-02-04,75,0,1,0
2020-02-05,68,0,3,<1
2020-02-06,61,0,2,<1
2020-02-07,66,0,2,0
2020-02-08,62,0,2,<1
2020-02-09,45,0,1,0
2020-02-10,42,0,2,0
2020-02-11,42,0,2,0
2020-02-12,40,0,1,<1
2020-02-13,36,0,1,0
2020-02-14,45,0,1,0
2020-02-15,33,0,1,<1
2020-02-16,31,0,1,<1
2020-02-17,29,0,1,<1
2020-02-18,24,0,1,<1
2020-02-19,22,0,1,<1
2020-02-20,25,0,1,0
2020-02-21,20,0,1,0
2020-02-22,20,0,1,0
2020-02-23,19,0,<1,0
2020-02-24,19,0,<1,0
2020-02-25,23,0,<1,<1
2020-02-26,18,0,1,<1
2020-02-27,16,0,1,<1
2020-02-28,15,0,1,0
2020-02-29,15,0,<1,0
2020-03-01,14,0,<1,<1
2020-03-02,15,0,<1,0
2020-03-03,17,0,<1,0
2020-03-04,14,0,<1,0
2020-03-05,16,0,<1,0
2020-03-06,14,0,<1,<1
2020-03-07,15,0,<1,0
2020-03-08,15,0,<1,0
2020-03-09,14,0,<1,0
2020-03-10,22,0,<1,<1
2020-03-11,31,0,<1,0
2020-03-12,25,0,<1,0
2020-03-13,21,0,<1,<1
2020-03-14,23,0,<1,0
2020-03-15,20,0,<1,0
2020-03-16,19,0,<1,0
2020-03-17,20,0,<1,0
2020-03-18,18,0,<1,0
2020-03-19,17,0,<1,0
2020-03-20,19,0,<1,0
2020-03-21,23,0,<1,0
2020-03-22,20,0,<1,<1
2020-03-23,19,0,<1,<1
2020-03-24,17,0,<1,<1
2020-03-25,16,0,<1,<1
2020-03-26,16,0,<1,0
2020-03-27,16,0,<1,0
2020-03-28,17,0,<1,0
2020-03-29,14,0,<1,0
2020-03-30,15,0,<1,0
2020-03-31,15,0,<1,0
2020-04-01,16,0,<1,0
2020-04-02,15,0,<1,0
2020-04-03,15,0,<1,0
2020-04-04,16,0,<1,0
2020-04-05,15,0,<1,0
2020-04-06,19,0,<1,0
2020-04-07,16,0,<1,0
2020-04-08,15,0,<1,0
2020-04-09,13,0,<1,0
2020-04-10,14,0,<1,0
2020-04-11,12,0,<1,0
2020-04-12,10,0,<1,0
2020-04-13,18,0,<1,0
2020-04-14,14,0,<1,0
2020-04-15,12,0,<1,<1
2020-04-16,13,0,<1,0
2020-04-17,15,0,<1,0
2020-04-18,12,0,<1,0
2020-04-19,10,0,<1,0
2020-04-20,11,0,<1,0
2020-04-21,12,0,<1,0
2020-04-22,12,0,<1,<1
2020-04-23,9,0,<1,0
2020-04-24,11,0,0,0
2020-04-25,10,0,<1,0
2020-04-26,9,0,<1,<1
2020-04-27,8,0,<1,<1
2020-04-28,8,0,<1,<1
2020-04-29,8,0,<1,0
2020-04-30,9,0,<1,<1
2020-05-01,7,0,<1,0
2020-05-02,7,0,<1,<1
2020-05-03,8,0,<1,0
2020-05-04,6,0,<1,0
2020-05-05,13,0,<1,0
2020-05-06,26,0,<1,0
2020-05-07,12,0,<1,<1
2020-05-08,13,0,<1,0
2020-05-09,12,0,<1,0
2020-05-10,8,0,<1,0
2020-05-11,9,0,<1,0
2020-05-12,9,0,<1,0
2020-05-13,9,0,<1,0
2020-05-14,10,0,<1,<1
2020-05-15,9,0,<1,0
2020-05-16,9,0,<1,0
2020-05-17,9,0,<1,0
2020-05-18,9,0,<1,0
2020-05-19,9,0,<1,0
2020-05-20,8,0,<1,0
2020-05-21,8,0,<1,<1
2020-05-22,10,0,<1,0
2020-05-23,8,0,<1,0
2020-05-24,6,0,<1,0
2020-05-25,8,0,<1,<1
2020-05-26,8,0,<1,0
2020-05-27,7,0,<1,0
2020-05-28,9,0,<1,0
2020-05-29,11,0,<1,0
2020-05-30,7,0,<1,0
2020-05-31,8,0,<1,0
2020-06-01,8,0,<1,0
2020-06-02,7,0,<1,0
2020-06-03,9,0,<1,0
2020-06-04,7,0,<1,0
2020-06-05,8,0,<1,0
2020-06-06,8,0,<1,<1
2020-06-07,7,0,<1,0
2020-06-08,8,0,<1,0
2020-06-09,9,0,<1,0
2020-06-10,7,0,<1,0
2020-06-11,8,0,<1,0
2020-06-12,7,0,<1,0
2020-06-13,8,0,<1,0
2020-06-14,6,0,<1,0
2020-06-15,8,0,<1,0
2020-06-16,7,0,<1,0
2020-06-17,7,0,<1,0
2020-06-18,7,0,<1,0
2020-06-19,7,0,<1,0
2020-06-20,6,0,<1,<1
2020-06-21,5,0,<1,0
2020-06-22,6,0,<1,0
2020-06-23,5,0,<1,0
2020-06-24,6,0,<1,0
2020-06-25,7,0,<1,0
2020-06-26,8,0,<1,0
2020-06-27,8,0,<1,0
2020-06-28,6,0,<1,0
2020-06-29,6,0,<1,0
2020-06-30,5,0,<1,<1
