Category: All categories

Day,口罩: (Hong Kong),china: (Hong Kong),中國: (Hong Kong),香港: (Hong Kong)
2020-01-01,<1,3,6,51
2020-01-02,2,5,7,43
2020-01-03,2,4,6,41
2020-01-04,2,4,7,45
2020-01-05,4,4,6,47
2020-01-06,7,6,7,40
2020-01-07,10,6,6,40
2020-01-08,8,6,7,40
2020-01-09,5,5,6,40
2020-01-10,3,6,6,37
2020-01-11,2,3,6,44
2020-01-12,2,3,5,43
2020-01-13,2,5,7,39
2020-01-14,2,5,7,42
2020-01-15,1,6,6,42
2020-01-16,1,6,7,39
2020-01-17,1,5,6,37
2020-01-18,1,3,5,42
2020-01-19,1,3,5,42
2020-01-20,2,6,7,39
2020-01-21,8,7,6,39
2020-01-22,18,5,7,43
2020-01-23,47,7,7,42
2020-01-24,51,6,7,35
2020-01-25,46,5,6,43
2020-01-26,53,6,6,43
2020-01-27,61,5,6,47
2020-01-28,82,7,7,47
2020-01-29,100,7,7,47
2020-01-30,92,6,7,44
2020-01-31,80,8,9,42
2020-02-01,75,6,8,49
2020-02-02,68,5,7,48
2020-02-03,72,7,7,46
2020-02-04,76,7,6,48
2020-02-05,75,7,8,51
2020-02-06,64,6,7,46
2020-02-07,66,5,6,46
2020-02-08,66,4,7,48
2020-02-09,46,3,6,45
2020-02-10,44,6,6,44
2020-02-11,42,5,7,42
2020-02-12,42,5,6,49
2020-02-13,39,5,7,43
2020-02-14,47,4,6,38
2020-02-15,35,4,6,44
2020-02-16,32,3,6,44
2020-02-17,31,6,7,39
2020-02-18,26,5,6,40
2020-02-19,25,5,7,42
2020-02-20,25,5,6,40
2020-02-21,21,4,6,38
2020-02-22,20,3,6,42
2020-02-23,20,3,5,43
2020-02-24,20,5,6,42
2020-02-25,24,5,6,41
2020-02-26,17,5,6,44
2020-02-27,17,5,6,38
2020-02-28,15,6,6,40
2020-02-29,16,4,5,43
2020-03-01,15,3,6,46
2020-03-02,16,5,7,40
2020-03-03,18,5,6,38
2020-03-04,15,5,8,43
2020-03-05,16,5,6,41
2020-03-06,14,5,6,41
2020-03-07,16,3,6,44
2020-03-08,15,3,6,44
2020-03-09,15,5,7,40
2020-03-10,23,5,7,41
2020-03-11,32,5,6,42
2020-03-12,28,6,7,38
2020-03-13,22,5,7,40
2020-03-14,24,4,5,45
2020-03-15,20,4,5,46
2020-03-16,20,5,7,40
2020-03-17,21,6,7,42
2020-03-18,19,5,7,42
2020-03-19,18,6,7,40
2020-03-20,19,6,7,40
2020-03-21,23,3,6,43
2020-03-22,20,4,6,46
2020-03-23,20,6,7,44
2020-03-24,16,6,7,41
2020-03-25,18,6,7,39
2020-03-26,18,5,8,38
2020-03-27,18,6,7,38
2020-03-28,17,3,6,38
2020-03-29,15,4,6,45
2020-03-30,15,6,8,40
2020-03-31,15,6,6,36
2020-04-01,17,6,6,40
2020-04-02,16,6,7,37
2020-04-03,16,5,6,39
2020-04-04,16,3,5,41
2020-04-05,16,4,6,41
2020-04-06,20,6,6,38
2020-04-07,17,5,7,40
2020-04-08,15,5,7,38
2020-04-09,14,5,7,39
2020-04-10,14,4,6,41
2020-04-11,12,4,6,42
2020-04-12,11,3,6,45
2020-04-13,20,5,6,41
2020-04-14,14,5,7,39
2020-04-15,12,5,7,38
2020-04-16,14,5,7,39
2020-04-17,17,6,8,37
2020-04-18,12,3,6,41
2020-04-19,10,4,6,43
2020-04-20,10,5,6,38
2020-04-21,12,5,6,37
2020-04-22,13,5,7,38
2020-04-23,9,5,7,37
2020-04-24,10,5,6,35
2020-04-25,11,4,5,38
2020-04-26,10,4,6,45
2020-04-27,7,6,6,38
2020-04-28,8,5,6,41
2020-04-29,8,5,6,41
2020-04-30,10,4,5,40
2020-05-01,8,4,6,42
2020-05-02,7,3,5,41
2020-05-03,7,3,5,44
2020-05-04,7,6,7,38
2020-05-05,15,5,7,41
2020-05-06,27,5,6,42
2020-05-07,13,5,5,39
2020-05-08,12,5,5,36
2020-05-09,13,3,6,43
2020-05-10,10,3,5,39
2020-05-11,10,5,6,39
2020-05-12,10,5,6,38
2020-05-13,9,5,6,37
2020-05-14,10,5,7,36
2020-05-15,10,5,6,39
2020-05-16,10,3,6,42
2020-05-17,9,3,6,46
2020-05-18,10,5,6,41
2020-05-19,10,5,6,37
2020-05-20,8,5,6,38
2020-05-21,8,5,7,39
2020-05-22,10,6,7,44
2020-05-23,7,3,5,44
2020-05-24,7,4,5,48
2020-05-25,8,5,7,42
2020-05-26,7,6,6,41
2020-05-27,7,6,6,41
2020-05-28,9,6,7,44
2020-05-29,11,6,7,40
2020-05-30,7,4,6,46
2020-05-31,10,5,5,49
2020-06-01,8,6,7,44
2020-06-02,8,6,7,44
2020-06-03,10,6,6,46
2020-06-04,8,6,6,41
2020-06-05,9,5,7,40
2020-06-06,8,3,6,42
2020-06-07,8,3,6,45
2020-06-08,8,5,6,42
2020-06-09,10,5,6,41
2020-06-10,7,5,6,42
2020-06-11,8,6,5,38
2020-06-12,8,5,5,42
2020-06-13,8,3,6,47
2020-06-14,7,3,5,44
2020-06-15,8,5,7,39
2020-06-16,7,6,6,40
2020-06-17,6,6,6,40
2020-06-18,7,6,7,40
2020-06-19,7,6,6,41
2020-06-20,7,4,8,47
2020-06-21,6,5,17,52
2020-06-22,7,7,9,42
2020-06-23,6,5,9,41
2020-06-24,7,5,7,41
2020-06-25,8,4,6,44
2020-06-26,8,5,7,43
2020-06-27,7,3,5,46
2020-06-28,6,3,5,45
2020-06-29,6,5,7,44
2020-06-30,6,5,7,49
