Category: All categories

Day,口罩: (Hong Kong),a: (Hong Kong),b: (Hong Kong),c: (Hong Kong)
2020-01-01,<1,15,2,2
2020-01-02,2,15,2,2
2020-01-03,2,15,2,2
2020-01-04,2,15,2,2
2020-01-05,4,16,1,2
2020-01-06,7,17,2,2
2020-01-07,10,15,2,2
2020-01-08,8,15,2,2
2020-01-09,5,18,3,2
2020-01-10,3,16,2,1
2020-01-11,2,13,2,2
2020-01-12,2,15,3,3
2020-01-13,2,16,2,3
2020-01-14,2,16,2,2
2020-01-15,1,17,2,3
2020-01-16,1,16,2,2
2020-01-17,1,15,2,2
2020-01-18,1,14,2,2
2020-01-19,1,15,2,2
2020-01-20,2,16,2,2
2020-01-21,8,15,2,2
2020-01-22,18,15,2,2
2020-01-23,47,15,1,3
2020-01-24,51,14,1,3
2020-01-25,46,12,1,2
2020-01-26,53,12,2,2
2020-01-27,61,12,2,2
2020-01-28,82,12,2,2
2020-01-29,100,12,2,3
2020-01-30,92,14,2,3
2020-01-31,80,12,2,3
2020-02-01,75,13,2,3
2020-02-02,68,12,2,2
2020-02-03,72,14,2,2
2020-02-04,76,14,3,2
2020-02-05,75,15,2,2
2020-02-06,64,15,2,3
2020-02-07,66,16,2,2
2020-02-08,66,13,2,3
2020-02-09,46,16,1,3
2020-02-10,44,17,3,2
2020-02-11,42,17,2,3
2020-02-12,42,17,2,2
2020-02-13,39,15,2,2
2020-02-14,47,15,2,2
2020-02-15,35,15,2,2
2020-02-16,32,14,2,2
2020-02-17,31,18,2,3
2020-02-18,26,19,2,2
2020-02-19,25,19,2,3
2020-02-20,25,17,2,2
2020-02-21,21,16,2,2
2020-02-22,20,14,2,2
2020-02-23,20,14,3,3
2020-02-24,20,18,2,2
2020-02-25,24,16,2,2
2020-02-26,17,16,2,2
2020-02-27,17,17,2,2
2020-02-28,15,16,2,2
2020-02-29,16,15,2,2
2020-03-01,15,16,2,2
2020-03-02,16,19,2,2
2020-03-03,18,17,2,2
2020-03-04,15,18,2,2
2020-03-05,16,18,2,2
2020-03-06,14,18,2,2
2020-03-07,16,15,2,2
2020-03-08,15,15,2,2
2020-03-09,15,17,2,3
2020-03-10,23,18,2,3
2020-03-11,32,18,2,3
2020-03-12,28,19,2,3
2020-03-13,22,16,3,4
2020-03-14,24,15,3,4
2020-03-15,20,16,2,3
2020-03-16,20,17,2,2
2020-03-17,21,18,2,2
2020-03-18,19,17,2,2
2020-03-19,18,16,2,2
2020-03-20,19,17,2,3
2020-03-21,23,16,2,3
2020-03-22,20,17,2,3
2020-03-23,20,18,2,2
2020-03-24,16,19,2,2
2020-03-25,18,19,2,2
2020-03-26,18,19,2,2
2020-03-27,18,18,2,2
2020-03-28,17,16,2,3
2020-03-29,15,18,2,3
2020-03-30,15,18,2,2
2020-03-31,15,20,2,2
2020-04-01,17,20,2,2
2020-04-02,16,19,2,3
2020-04-03,16,17,2,3
2020-04-04,16,16,2,2
2020-04-05,16,16,2,2
2020-04-06,20,18,2,2
2020-04-07,17,17,2,3
2020-04-08,15,18,2,2
2020-04-09,14,17,2,3
2020-04-10,14,18,2,3
2020-04-11,12,16,2,3
2020-04-12,11,16,2,3
2020-04-13,20,18,2,3
2020-04-14,14,17,2,3
2020-04-15,12,17,3,2
2020-04-16,14,17,2,3
2020-04-17,17,18,2,2
2020-04-18,12,17,1,3
2020-04-19,10,17,2,2
2020-04-20,10,19,2,3
2020-04-21,12,19,2,3
2020-04-22,13,18,2,2
2020-04-23,9,19,2,2
2020-04-24,10,19,2,2
2020-04-25,11,16,2,2
2020-04-26,10,17,3,2
2020-04-27,7,19,2,3
2020-04-28,8,20,2,3
2020-04-29,8,19,2,2
2020-04-30,10,18,2,3
2020-05-01,8,17,2,3
2020-05-02,7,17,2,2
2020-05-03,7,17,3,2
2020-05-04,7,20,2,2
2020-05-05,15,19,2,3
2020-05-06,27,20,2,3
2020-05-07,13,18,2,3
2020-05-08,12,19,2,2
2020-05-09,13,16,2,2
2020-05-10,10,18,2,3
2020-05-11,10,19,2,3
2020-05-12,10,19,2,3
2020-05-13,9,22,2,3
2020-05-14,10,19,2,2
2020-05-15,10,19,2,3
2020-05-16,10,18,2,3
2020-05-17,9,17,3,2
2020-05-18,10,19,3,3
2020-05-19,10,19,3,2
2020-05-20,8,18,2,2
2020-05-21,8,19,2,2
2020-05-22,10,18,2,2
2020-05-23,7,15,2,3
2020-05-24,7,18,3,3
2020-05-25,8,16,2,2
2020-05-26,7,17,2,2
2020-05-27,7,19,2,2
2020-05-28,9,18,2,2
2020-05-29,11,17,2,2
2020-05-30,7,15,2,2
2020-05-31,10,17,1,3
2020-06-01,8,17,2,2
2020-06-02,8,17,2,2
2020-06-03,10,17,2,3
2020-06-04,8,18,2,3
2020-06-05,9,17,3,3
2020-06-06,8,14,2,2
2020-06-07,8,14,3,2
2020-06-08,8,17,2,2
2020-06-09,10,17,3,3
2020-06-10,7,18,2,2
2020-06-11,8,17,2,2
2020-06-12,8,15,2,2
2020-06-13,8,15,2,2
2020-06-14,7,16,2,2
2020-06-15,8,15,2,3
2020-06-16,7,18,2,2
2020-06-17,6,18,2,2
2020-06-18,7,18,2,2
2020-06-19,7,16,2,2
2020-06-20,7,16,2,2
2020-06-21,6,15,3,2
2020-06-22,7,16,2,2
2020-06-23,6,17,2,2
2020-06-24,7,15,2,2
2020-06-25,8,15,2,2
2020-06-26,8,16,2,2
2020-06-27,7,14,2,3
2020-06-28,6,14,2,2
2020-06-29,6,15,3,2
2020-06-30,6,16,2,2
