Date,twmask
2020-01-01,2
2020-01-02,0
2020-01-03,2
2020-01-04,2
2020-01-05,3
2020-01-06,2
2020-01-07,5
2020-01-08,1
2020-01-09,3
2020-01-10,2
2020-01-11,2
2020-01-12,2
2020-01-13,1
2020-01-14,1
2020-01-15,0
2020-01-16,1
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,17
2020-01-21,38
2020-01-22,64
2020-01-23,58
2020-01-24,55
2020-01-25,78
2020-01-26,82
2020-01-27,100
2020-01-28,96
2020-01-29,76
2020-01-30,68
2020-01-31,72
2020-02-01,66
2020-02-02,65
2020-02-03,54
2020-02-04,56
2020-02-05,48
2020-02-06,40
2020-02-07,45
2020-02-08,52
2020-02-09,38
2020-02-10,35
2020-02-11,29
2020-02-12,39
2020-02-13,27
2020-02-14,22
2020-02-15,24
2020-02-16,16
2020-02-17,19
2020-02-18,23
2020-02-19,15
2020-02-20,14
2020-02-21,13
2020-02-22,17
2020-02-23,29
2020-02-24,17
2020-02-25,24
2020-02-26,26
2020-02-27,34
2020-02-28,37
2020-02-29,38
2020-03-01,31
2020-03-02,39
2020-03-03,43
2020-03-04,30
2020-03-05,34
2020-03-06,37
2020-03-07,37
2020-03-08,26
2020-03-09,40
2020-03-10,29
2020-03-11,36
2020-03-12,55
2020-03-13,46
2020-03-14,52
2020-03-15,44
2020-03-16,43
2020-03-17,35
2020-03-18,35
2020-03-19,36
2020-03-20,43
2020-03-21,41
2020-03-22,41
2020-03-23,38
2020-03-24,40
2020-03-25,38
2020-03-26,33
2020-03-27,28
2020-03-28,44
2020-03-29,40
2020-03-30,38
2020-03-31,48
2020-04-01,50
2020-04-02,47
2020-04-03,50
2020-04-04,59
2020-04-05,52
2020-04-06,37
2020-04-07,41
2020-04-08,36
2020-04-09,39
2020-04-10,30
2020-04-11,33
2020-04-12,31
2020-04-13,23
2020-04-14,22
2020-04-15,21
2020-04-16,20
2020-04-17,19
2020-04-18,16
2020-04-19,17
2020-04-20,16
2020-04-21,9
2020-04-22,13
2020-04-23,18
2020-04-24,16
2020-04-25,16
2020-04-26,15
2020-04-27,14
2020-04-28,10
2020-04-29,17
2020-04-30,8
2020-05-01,13
2020-05-02,17
2020-05-03,19
2020-05-04,14
2020-05-05,13
2020-05-06,9
2020-05-07,18
2020-05-08,16
2020-05-09,12
2020-05-10,17
2020-05-11,16
2020-05-12,17
2020-05-13,16
2020-05-14,18
2020-05-15,11
2020-05-16,12
2020-05-17,16
2020-05-18,10
2020-05-19,12
2020-05-20,13
2020-05-21,12
2020-05-22,14
2020-05-23,11
2020-05-24,13
2020-05-25,12
2020-05-26,7
2020-05-27,14
2020-05-28,14
2020-05-29,9
2020-05-30,11
2020-05-31,9
2020-06-01,12
2020-06-02,9
2020-06-03,12
2020-06-04,11
2020-06-05,9
2020-06-06,10
2020-06-07,9
2020-06-08,9
2020-06-09,7
2020-06-10,14
2020-06-11,7
2020-06-12,12
2020-06-13,12
2020-06-14,11
2020-06-15,15
2020-06-16,10
2020-06-17,14
2020-06-18,11
2020-06-19,11
2020-06-20,9
2020-06-21,14
2020-06-22,10
2020-06-23,9
2020-06-24,12
2020-06-25,10
2020-06-26,16
2020-06-27,11
2020-06-28,6
2020-06-29,8
2020-06-30,12
